Ort,PLZ,Gemeindename,Kantonskürzel,Einwohner,YB (absolut),YB (relativ),SCB (absolut),SCB (relativ)
Les Monts-de-Corsier,1808,Corsier-sur-Vevey,VD,782,0,0,0,0
Les Monts-de-Pully,1068,Pully,VD,136,0,0,0,0
Les Mosses,1862,Ormont-Dessous,VD,235,0,0,0,0
Les Moulins,1660,Château-d'Oex,VD,2663,0,0,3,1.126549005
Les Moulins VS (Liddes),1945,Liddes,VS,669,0,0,0,0
Les Paccots,1619,Châtel-Saint-Denis,FR,1550,0,0,0,0
Les Planchettes,2325,Les Planchettes,NE,220,0,0,0,0
Les Plans-sur-Bex,1880,Bex,VD,6352,1,0.1574307305,1,0.1574307305
Les Pommerats,2353,Saignelégier,JU,201,0,0,0,0
Les Pontins,2610,Saint-Imier,BE,4572,12,2.624671916,9,1.968503937
Les Ponts-de-Martel,2316,Les Ponts-de-Martel,NE,1195,0,0,0,0
Les Posses-sur-Bex,1880,Bex,VD,6352,1,0.1574307305,1,0.1574307305
Les Prés-d'Orvin,2534,Orvin,BE,1046,0,0,1,0.9560229446
Les Rasses,1452,Bullet,VD,134,0,0,0,0
Les Reussilles,2722,Tramelan,BE,470,1,2.127659574,4,8.510638298
Les Sagnettes,2124,Val-de-Travers,NE,54,0,0,0,0
Les Sciernes-d'Albeuve,1669,Haut-Intyamon,FR,473,0,0,0,0
Les Taillères,2406,La Brévine,NE,398,0,0,0,0
Les Tavernes,1607,Oron,VD,778,0,0,0,0
Les Thioleyres,1607,Oron,VD,778,0,0,0,0
Les Valettes (Bovernier),1932,Bovernier,VS,312,0,0,0,0
Les Vérines (Chamoson),1955,Chamoson,VS,1986,0,0,0,0
Les Verrières,2126,Les Verrières,NE,704,0,0,0,0
Les Vieux-Prés,2054,Val-de-Ruz,NE,1866,0,0,0,0
Lessoc,1669,Haut-Intyamon,FR,473,0,0,0,0
Leuggelbach,8774,Glarus Süd,GL,155,0,0,0,0
Leuggern,5316,Leuggern,AG,1789,0,0,0,0
Leuk Stadt,3953,Leuk,VS,955,0,0,0,0
Leukerbad,3954,Leukerbad,VS,1535,0,0,0,0
Leutwil,5725,Leutwil,AG,741,0,0,2,2.699055331
Leuzigen,3297,Leuzigen,BE,1208,11,9.105960265,4,3.311258278
Levron,1942,Vollèges,VS,332,0,0,0,0
Leysin,1854,Leysin,VD,4096,0,0,0,0
Leytron,1912,Leytron,VS,2013,0,0,0,0
Li Curt,7745,Poschiavo,GR,824,0,0,0,0
Libingen,9614,Mosnang,SG,326,0,0,0,0
Lichtensteig,9620,Lichtensteig,SG,1949,0,0,0,0
Liddes,1945,Liddes,VS,669,0,0,0,0
Liebefeld,3097,Köniz,BE,7063,152,21.52060031,71,10.05238567
Liebistorf,3213,Gurmels,FR,792,2,2.525252525,2,2.525252525
Liedertswil,4436,Liedertswil,BL,2341,0,0,5,2.135839385
Lieffrens,1688,Vuisternens-devant-Romont,FR,325,0,0,0,0
Lieli LU,6277,Hohenrain,LU,764,0,0,0,0
Lienz,9464,Altstätten,SG,2154,0,0,0,0
Liesberg,4253,Liesberg,BL,427,0,0,0,0
Liesberg Dorf,4254,Liesberg,BL,753,0,0,0,0
Liestal,4410,Liestal,BL,13807,1,0.07242702977,3,0.2172810893
Liez (St-Martin),1969,Saint-Martin (VS),VS,418,0,0,0,0
Ligerz,2514,Ligerz,BE,539,0,0,0,0
Lignerolle,1357,Lignerolle,VD,382,0,0,0,0
Lignières,2523,Lignières,NE,949,0,0,2,2.10748156
Ligornetto,6853,Mendrisio,TI,1867,0,0,0,0
Limpach,3317,Fraubrunnen,BE,291,5,17.18213058,3,10.30927835
Lindau,8315,Lindau,ZH,871,0,0,0,0
Linden,3673,Linden,BE,1312,1,0.762195122,7,5.335365854
Linescio,6682,Linescio,TI,51,0,0,0,0
Linthal,8783,Glarus Süd,GL,1036,0,0,0,0
Lipperswil,8564,Wäldi,TG,82,0,0,0,0
Lippoldswilen,8566,Kemmental,TG,489,0,0,0,0
Littenheid,9573,Sirnach,TG,86,0,0,0,0
Litzirüti,7058,Arosa,GR,97,0,0,0,0
Lobsigen,3268,Seedorf (BE),BE,466,11,23.60515021,2,4.291845494
Loc,3960,Randogne,VS,13306,0,0,1,0.07515406583
Locarno,6600,Locarno,TI,11103,1,0.090065748,0,0
Locarno,6600,Locarno,TI,11103,1,0.090065748,0,0
Locarno,6605,Locarno,TI,810,0,0,0,0
Loco,6661,Isorno,TI,152,0,0,0,0
Lodano,6678,Maggia,TI,302,0,0,0,0
Lodrino,6527,Lodrino,TI,1219,0,0,0,0
Lohn GR,7433,Lohn (GR),GR,188,0,0,0,0
Lohn SH,8235,Lohn (SH),SH,740,0,0,0,0
Lohn-Ammannsegg,4573,Lohn-Ammannsegg,SO,2639,6,2.27358848,11,4.168245548
Löhningen,8224,Löhningen,SH,1368,0,0,0,0
Lohnstorf,3127,Lohnstorf,BE,1390,14,10.07194245,17,12.23021583
Lömmenschwil,9308,Häggenschwil,SG,438,0,0,0,0
Lommis,9506,Lommis,TG,771,0,0,0,0
Lommiswil,4514,Lommiswil,SO,1472,1,0.6793478261,9,6.114130435
Lonay,1027,Lonay,VD,2493,0,0,0,0
Longirod,1261,Longirod,VD,445,0,0,0,0
Lopagno,6956,Capriasca,TI,457,0,0,0,0
Lopagno,6956,Capriasca,TI,457,0,0,0,0
Lopagno,6956,Capriasca,TI,457,0,0,0,0
Losone,6616,Losone,TI,6061,0,0,0,0
Lossy,1782,La Sonnaz,FR,2992,0,0,0,0
Lostallo,6558,Lostallo,GR,735,0,0,0,0
Lostorf,4654,Lostorf,SO,3804,0,0,0,0
Lottigna,6716,Acquarossa,TI,128,0,0,0,0
Lotzwil,4932,Lotzwil,BE,2468,7,2.8363047,9,3.646677472
Lourtier,1948,Bagnes,VS,377,0,0,0,0
Lovatens,1682,Lovatens,VD,150,0,0,0,0
Lovens,1756,La Brillaz,FR,617,0,0,0,0
Loveresse,2732,Loveresse,BE,2284,0,0,1,0.4378283713
Lü,7534,Val Müstair,GR,43,0,0,0,0
Luc (Ayent),1966,Ayent,VS,301,0,0,1,3.322259136
Lucelle,2807,Pleigne,JU,349,0,0,0,0
Lucens,1522,Lucens,VD,3101,0,0,0,0
Lüchingen,9450,Altstätten,SG,8839,1,0.11313497,0,0
Luchsingen,8775,Glarus Süd,GL,496,0,0,0,0
Ludiano,6721,Serravalle,TI,586,0,0,0,0
Lüen,7027,Arosa,GR,139,0,0,0,0
Lufingen,8426,Lufingen,ZH,1873,0,0,3,1.601708489
Lugaggia,6953,Capriasca,TI,730,0,0,0,0
Lugaggia,6953,Capriasca,TI,730,0,0,0,0
Lugano,6900,Lugano,TI,36896,0,0,0,0
Lugnez,2933,Lugnez,JU,179,0,0,0,0
Lugnorre,1789,Mont-Vully,FR,931,2,2.148227712,3,3.222341568
Luins,1184,Luins,VD,598,0,0,0,0
Lully FR,1470,Lully (FR),FR,5689,0,0,0,0
Lully VD,1132,Lully (VD),VD,759,0,0,0,0
Lumbrein,7148,Lumnezia,GR,345,0,0,0,0
Lumino,6533,Lumino,TI,1370,0,0,0,0
Lunden,7222,Schiers,GR,176,0,0,0,0
Lungern,6078,Lungern,OW,1881,1,0.5316321106,0,0
Lupfig,5242,Lupfig,AG,4318,0,0,3,0.6947660954
Lupsingen,4419,Lupsingen,BL,1370,0,0,0,0
Lurtigen,3215,Murten,FR,287,6,20.90592334,5,17.42160279
Lüscherz,2576,Lüscherz,BE,531,1,1.883239171,2,3.766478343
Lussery-Villars,1307,Lussery-Villars,VD,395,0,0,0,0
Lüsslingen,4574,Lüsslingen-Nennigkofen,SO,489,2,4.08997955,0,0
Lussy FR,1690,La Folliaz,FR,1189,0,0,1,0.8410428932
Lussy-sur-Morges,1167,Lussy-sur-Morges,VD,643,0,0,0,0
Lustdorf,8512,Thundorf,TG,1023,0,0,0,0
Lustmühle,9062,Teufen (AR),AR,430,0,0,0,0
Luterbach,4542,Luterbach,SO,3405,6,1.762114537,10,2.936857562
Lüterkofen,4571,Lüterkofen-Ichertswil,SO,637,2,3.139717425,1,1.569858713
Lüterswil,4584,Lüterswil-Gächliwil,SO,261,1,3.831417625,2,7.662835249
Luthern,6156,Luthern,LU,610,0,0,0,0
Luthern Bad,6156,Luthern,LU,610,0,0,0,0
Lütisburg,9604,Lütisburg,SG,767,0,0,0,0
Lütisburg Station,9601,Lütisburg,SG,398,0,0,0,0
Lutry,1095,Lutry,VD,5802,0,0,1,0.1723543606
Lütschental,3816,Lütschental,BE,235,0,0,2,8.510638298
Lützelflüh-Goldbach,3432,Lützelflüh,BE,3080,12,3.896103896,12,3.896103896
Lutzenberg,9426,Lutzenberg,AR,877,0,0,0,0
Luven,7141,Ilanz/Glion,GR,175,0,0,0,0
Luzein,7242,Luzein,GR,221,0,0,0,0
Luzern,6003,Luzern,LU,26175,1,0.03820439351,1,0.03820439351
Luzern,6004,Luzern,LU,7504,1,0.1332622601,3,0.3997867804
Luzern,6005,Luzern,LU,18065,0,0,1,0.05535566012
Luzern,6006,Luzern,LU,15001,0,0,0,0
Luzern,6014,Luzern,LU,7269,0,0,4,0.5502820195
Luzern,6015,Luzern,LU,6487,0,0,3,0.4624633883
Lyss,3250,Lyss,BE,12147,92,7.573886556,94,7.738536264
Lyssach,3421,Lyssach,BE,1398,21,15.02145923,22,15.73676681
Lyssach,3421,Oberburg,BE,1398,21,15.02145923,22,15.73676681
Macolin,2532,Evilard,BE,596,6,10.06711409,0,0
Madetswil,8322,Russikon,ZH,737,0,0,0,0
Madiswil,4934,Madiswil,BE,2116,7,3.308128544,3,1.417769376
Madonna del Piano,6995,Croglio,TI,266,0,0,0,0
Madrano,6780,Airolo,TI,1427,0,0,0,0
Mädris-Vermol,8886,Mels,SG,117,0,0,0,0
Madulain,7523,Madulain,GR,227,0,0,0,0
Madulain,7523,Madulain,GR,227,0,0,0,0
Magadino,6573,Gambarogno,TI,513,0,0,0,0
Magden,4312,Magden,AG,3824,0,0,0,0
Mägenwil,5506,Mägenwil,AG,2060,0,0,4,1.941747573
Maggia,6673,Maggia,TI,439,0,0,0,0
Magliaso,6983,Magliaso,TI,1501,0,0,0,0
Maglio di Colla,6959,Lugano,TI,37,0,0,0,0
Magnedens,1727,Gibloux,FR,1066,1,0.9380863039,0,0
Maienfeld,7304,Maienfeld,GR,2687,0,0,0,0
Mairengo,6763,Faido,TI,182,0,0,0,0
Maisprach,4464,Maisprach,BL,938,0,0,0,0
Maladers,7026,Maladers,GR,486,0,0,0,0
Malans GR,7208,Malans,GR,2340,0,0,0,0
Malans SG,9479,Wartau,SG,708,0,0,0,0
Malix,7074,Churwalden,GR,719,0,0,0,0
Malleray,2735,Valbirse,BE,1702,1,0.5875440658,4,2.350176263
Maloja,7516,Bregaglia,GR,233,0,0,0,0
Malters,6102,Malters,LU,6911,1,0.1446968601,0,0
Malvaglia,6713,Serravalle,TI,1196,0,0,0,0
Mamishaus,3152,Schwarzenburg,BE,745,4,5.369127517,8,10.73825503
Mammern,8265,Mammern,TG,614,0,0,0,0
Mandach,5318,Mandach,AG,309,0,0,0,0
Männedorf,8708,Männedorf,ZH,10492,0,0,1,0.09531071292
Mannenbach-Salenstein,8268,Salenstein,TG,296,0,0,0,0
Mannens,1775,Montagny (FR),FR,372,0,0,0,0
Manno,6928,Manno,TI,1270,0,0,0,0
Maracon,1613,Maracon,VD,453,0,0,0,0
Marbach LU,6196,Escholzmatt-Marbach,LU,1196,0,0,0,0
Marbach SG,9437,Marbach (SG),SG,2103,2,0.951022349,0,0
Marchissy,1261,Marchissy,VD,445,0,0,0,0
Mariastein,4115,Metzerlen-Mariastein,SO,155,0,0,0,0
Marin-Epagnier,2074,La Tène,NE,4067,0,0,1,0.2458814851
Marly,1723,Marly,FR,7919,4,0.5051142821,0,0
Marmorera,7456,Surses,GR,78,0,0,0,0
Marnand,1524,Valbroye,VD,147,0,0,0,0
Maroggia,6817,Maroggia,TI,601,0,0,0,0
Marolta,6723,Acquarossa,TI,81,0,0,0,0
Marolta,6723,Acquarossa,TI,81,0,0,0,0
Marolta,6723,Acquarossa,TI,81,0,0,0,0
Marsens,1633,Marsens,FR,1478,0,0,0,0
Märstetten,8560,Märstetten,TG,2088,0,0,0,0
Marthalen,8460,Marthalen,ZH,1897,0,0,0,0
Martherenges,1063,Montanaire,VD,417,0,0,0,0
Martigny,1920,Martigny,VS,17215,0,0,3,0.1742666279
Martigny-Croix,1921,Martigny-Combe,VS,1707,0,0,0,0
Martina,7560,Valsot,GR,147,0,0,0,0
Martisberg,3994,Bettmeralp,VS,287,0,0,0,0
Märwil,9562,Affeltrangen,TG,1130,0,0,0,0
Maschwanden,8933,Maschwanden,ZH,664,0,0,0,0
Mase,1968,Mont-Noble,VS,271,0,0,0,0
Masein,7425,Masein,GR,443,0,0,0,0
Maseltrangen,8723,Schänis,SG,518,0,0,0,0
Massagno,6900,Massagno,TI,36896,0,0,0,0
Massongex,1869,Massongex,VS,1699,0,0,0,0
Massonnens,1692,Massonnens,FR,487,0,0,0,0
Mastrils,7303,Landquart,GR,551,0,0,0,0
Mathod,1438,Mathod,VD,548,0,0,0,0
Mathon,7433,Mathon,GR,188,0,0,0,0
Matran,1753,Matran,FR,1568,0,0,0,0
Matt,8766,Glarus Süd,GL,335,0,0,0,0
Matten (St. Stephan),3773,St. Stephan,BE,518,0,0,0,0
Matten b. Interlaken,3800,Matten bei Interlaken,BE,5659,27,4.771160983,24,4.241031984
Mattstetten,3322,Mattstetten,BE,6084,138,22.68244576,9,1.479289941
Mattwil,8585,Birwinken,TG,314,0,0,0,0
Matzendorf,4713,Matzendorf,SO,1298,0,0,5,3.852080123
Matzingen,9548,Matzingen,TG,2568,0,0,0,0
Mauborget,1453,Mauborget,VD,469,0,0,0,0
Mauensee,6216,Mauensee,LU,742,0,0,0,0
Maules,1625,Sâles,FR,636,1,1.572327044,0,0
Maur,8124,Maur,ZH,1887,0,0,0,0
Mauraz,1148,Mauraz,VD,722,0,0,0,0
Mauren TG,8576,Berg (TG),TG,502,0,0,0,0
Mayens-de-Chamoson,1911,Chamoson,VS,432,0,0,0,0
Mayens-de-la-Zour (Savièse),1965,Savièse,VS,568,0,0,0,0
Medeglia,6809,Comunanza Cadenazzo/Montecener,TI,747,0,0,0,0
Medeglia,6809,Monteceneri,TI,747,0,0,0,0
Medels im Rheinwald,7436,Splügen,GR,66,0,0,0,0
Meggen,6045,Meggen,LU,6762,0,0,0,0
Mehlsecken,6260,Reiden,LU,4373,0,0,6,1.372055797
Meien,6485,Wassen,UR,75,0,0,0,0
Meienberg,5643,Sins,AG,3293,0,0,0,0
Meienried,3294,Meienried,BE,3444,17,4.93612079,19,5.516840883
Meierskappel,6344,Meierskappel,LU,1374,0,0,0,0
Meikirch,3045,Meikirch,BE,1239,16,12.91364003,15,12.10653753
Meilen,8706,Meilen,ZH,13082,0,0,0,0
Meinier,1252,Meinier,GE,2066,0,0,0,0
Meinisberg,2554,Meinisberg,BE,1318,5,3.793626707,2,1.517450683
Meiringen,3860,Meiringen,BE,4333,6,1.384721902,21,4.846526656
Meisterschwanden,5616,Meisterschwanden,AG,2268,0,0,0,0
Melano,6818,Melano,TI,1418,0,0,0,0
Melchnau,4917,Melchnau,BE,1525,0,0,2,1.31147541
Melchsee-Frutt,6068,Kerns,OW,33,0,0,0,0
Melchtal,6067,Kerns,OW,324,0,0,0,0
Melide,6815,Melide,TI,1739,0,0,0,0
Mellikon,5465,Mellikon,AG,249,0,0,0,0
Mellingen,5507,Mellingen,AG,4887,0,0,0,0
Mels,8887,Mels,SG,6205,0,0,0,0
Meltingen,4233,Meltingen,SO,639,0,0,0,0
Mendrisio,6850,Mendrisio,TI,6626,0,0,0,0
Ménières,1533,Ménières,FR,353,0,0,0,0
Menzberg,6125,Menznau,LU,510,0,0,0,0
Menzengrüt,8546,Wiesendangen,ZH,1429,0,0,0,0
Menziken,5737,Menziken,AG,5697,0,0,1,0.1755309812
Menzingen,6313,Menzingen,ZG,2955,0,0,0,0
Menznau,6122,Menznau,LU,1890,2,1.058201058,1,0.5291005291
Menzonio,6692,Lavizzara,TI,117,0,0,0,0
Merenschwand,5634,Merenschwand,AG,2791,0,0,2,0.7165890362
Mergoscia,6647,Mergoscia,TI,222,0,0,0,0
Meride,6866,Mendrisio,TI,233,0,0,0,0
Merishausen,8232,Merishausen,SH,828,0,0,2,2.415458937
Merligen,3658,Sigriswil,BE,871,1,1.148105626,3,3.444316877
Merlischachen,6402,Küssnacht (SZ),SZ,1216,0,0,0,0
Mervelier,2827,Mervelier,JU,529,0,0,0,0
Merzligen,3274,Merzligen,BE,258,1,3.875968992,2,7.751937984
Mesocco,6563,Mesocco,GR,1109,0,0,0,0
Messen,3254,Messen,SO,1037,10,9.643201543,7,6.75024108
Mettau,5274,Mettauertal,AG,296,0,0,0,0
Mettembert,2806,Mettembert,JU,112,0,0,0,0
Mettendorf TG,8553,Hüttlingen,TG,58,0,0,0,0
Mettlen,9517,Bussnang,TG,479,0,0,0,0
Mettmenstetten,8932,Mettmenstetten,ZH,4423,0,0,0,0
Metzerlen,4116,Metzerlen-Mariastein,SO,764,0,0,0,0
Mex VD,1031,Mex (VD),VD,651,0,0,0,0
Mex VS,1890,Saint-Maurice,VS,4375,0,0,0,0
Meyriez,3280,Meyriez,FR,6326,17,2.687322163,35,5.532722099
Meyrin,1217,Meyrin,GE,19385,0,0,0,0
Mézery-près-Donneloye,1407,Donneloye,VD,382,0,0,0,0
Mézières FR,1684,Mézières (FR),FR,768,0,0,0,0
Mézières VD,1083,Mézières (VD),VD,1170,0,0,0,0
Mezzovico,6805,Mezzovico-Vira,TI,1308,0,0,0,0
Mezzovico,6805,Mezzovico-Vira,TI,1308,0,0,0,0
Middes,1749,Torny,FR,398,0,0,0,0
Miécourt,2946,La Baroche,JU,429,0,0,0,0
Miège,3972,Miège,VS,1370,2,1.459854015,0,0
Mies,1295,Mies,VD,1929,0,0,0,0
Miex,1896,Vouvry,VS,3579,0,0,2,0.5588153115
Miglieglia,6986,Miglieglia,TI,814,0,0,0,0
Milken,3157,Schwarzenburg,BE,349,2,5.730659026,3,8.595988539
Minusio,6648,Minusio,TI,7251,0,0,0,0
Miralago,7743,Poschiavo,GR,451,0,0,0,0
Mirchel,3532,Mirchel,BE,1622,21,12.94697904,15,9.24784217
Misériez (Salins),1991,Sion,VS,457,0,0,0,0
Misery,1721,Misery-Courtion,FR,582,0,0,0,0
Mission,3961,Anniviers,VS,457,0,0,0,0
Missy,1565,Missy,VD,319,0,0,0,0
Mitlödi,8756,Glarus Süd,GL,1045,0,0,0,0
Mittelhäusern,3147,Köniz,BE,862,5,5.800464037,8,9.280742459
Mogelsberg,9122,Neckertal,SG,941,0,0,0,0
Moghegno,6677,Maggia,TI,697,0,0,0,0
Möhlin,4313,Möhlin,AG,10574,0,0,3,0.2837147721
Moiry VD,1148,Moiry,VD,722,0,0,0,0
Molare,6760,Faido,TI,1023,0,0,0,0
Moleno,6524,Moleno,TI,115,0,0,0,0
Moléson-sur-Gruyères,1663,Gruyères,FR,113,1,8.849557522,0,0
Molinazzo di Monteggio,6995,Monteggio,TI,266,0,0,0,0
Molinis,7056,Arosa,GR,152,0,0,0,0
Mollens VD,1146,Mollens (VD),VD,291,0,0,0,0
Mollens VS,3974,Mollens (VS),VS,877,0,0,0,0
Mollie-Margot,1073,Savigny,VD,2686,0,0,0,0
Mollis,8753,Glarus Nord,GL,3747,0,0,2,0.5337603416
Molondin,1415,Molondin,VD,213,0,0,0,0
Mols,8885,Quarten,SG,574,0,0,0,0
Mon,7458,Albula/Alvra,GR,83,0,0,0,0
Mönchaltorf,8617,Mönchaltorf,ZH,3472,0,0,0,0
Moneto,6659,Centovalli,TI,106,0,0,0,0
Monible,2715,Petit-Val,BE,46,0,0,1,21.73913043
Monnaz,1125,Echichens,VD,403,0,0,0,0
Mont-Crosin,2610,Cormoret,BE,4572,12,2.624671916,9,1.968503937
Mont-de-Buttes,2116,Val-de-Travers,NE,82,0,0,0,0
Mont-la-Ville,1148,Mont-la-Ville,VD,722,0,0,0,0
Mont-Soleil,2610,Saint-Imier,BE,4572,12,2.624671916,9,1.968503937
Mont-sur-Rolle,1185,Mont-sur-Rolle,VD,2581,0,0,0,0
Mont-Tramelan,2723,Mont-Tramelan,BE,113,1,8.849557522,4,35.39823009
Montagne-de-Courtelary,2608,Cortébert,BE,1233,0,0,3,2.433090024
Montagne-de-Sonvilier,2615,Sonvilier,BE,1193,0,0,2,1.676445935
Montagnola,6926,Collina d'Oro,TI,2341,0,0,0,0
Montagnon (Leytron),1912,Leytron,VS,2013,0,0,0,0
Montagny-la-Ville,1776,Montagny (FR),FR,441,0,0,0,0
Montagny-les-Monts,1774,Montagny (FR),FR,924,0,0,0,0
Montagny-près-Yverdon,1442,Montagny-près-Yverdon,VD,705,0,0,0,0
Montalchez,2027,Montalchez,NE,252,0,0,0,0
Montana,3963,Montana,VS,2683,0,0,0,0
Montaubion-Chardonney,1041,Jorat-Menthue,VD,302,0,0,0,0
Montavon,2857,Boécourt,JU,138,0,0,0,0
Montbovon,1669,Haut-Intyamon,FR,473,0,0,0,0
Montbrelloz,1475,Vernay,FR,287,0,0,1,3.484320557
Montcherand,1354,Montcherand,VD,471,0,0,0,0
Monte,6875,Castel San Pietro,TI,81,0,0,0,0
Monte Carasso,6513,Monte Carasso,TI,2802,0,0,0,0
Monteiller (Savièse),1965,Savièse,VS,568,0,0,0,0
Montenol,2884,Clos du Doubs,JU,75,0,0,0,0
Montet (Broye),1483,Les Montets,FR,403,0,0,0,0
Montet (Glâne),1674,Montet (Glâne),FR,364,0,0,0,0
Montévraz,1724,Le Mouret,FR,1379,0,0,1,0.7251631617
Montezillon,2037,Rochefort,NE,677,0,0,1,1.477104874
Montfaucon,2362,Montfaucon,JU,557,0,0,0,0
Montfavergier,2362,Montfaucon,JU,557,0,0,0,0
Mönthal,5237,Mönthal,AG,389,0,0,0,0
Montherod,1174,Montherod,VD,504,0,0,0,0
Monthey,1870,Monthey,VS,13967,0,0,0,0
Monthey,1870,Monthey,VS,13967,0,0,0,0
Montignez,2924,Basse-Allaine,JU,218,0,0,0,0
Montlingen,9462,Oberriet (SG),SG,1947,0,0,0,0
Montlingen,9462,Oberriet (SG),SG,1947,0,0,0,0
Montmagny,1587,Vully-les-Lacs,VD,189,0,0,0,0
Montmelon,2883,Clos du Doubs,JU,114,0,0,0,0
Montmollin,2037,Val-de-Ruz,NE,677,0,0,1,1.477104874
Montpreveyres,1081,Montpreveyres,VD,539,0,0,0,0
Montreux,1820,Montreux,VD,13072,0,0,1,0.076499388
Montricher,1147,Montricher,VD,893,0,0,0,0
Montsevelier,2828,Val Terbi,JU,493,0,0,0,0
Moosleerau,5054,Moosleerau,AG,777,0,0,2,2.574002574
Moosseedorf,3302,Moosseedorf,BE,3763,57,15.14748871,81,21.52537869
Morbio Inferiore,6834,Morbio Inferiore,TI,4631,0,0,0,0
Morbio Superiore,6835,Breggia,TI,494,0,0,0,0
Morcles,1892,Lavey-Morcles,VD,737,0,0,0,0
Morcote,6922,Morcote,TI,707,0,0,0,0
Mörel,3983,Mörel-Filet,VS,551,0,0,0,0
Morens FR,1541,Morens (FR),FR,406,0,0,0,0
Morgarten,6315,Oberägeri,ZG,4320,1,0.2314814815,0,0
Morges,1110,Morges,VD,15251,1,0.06556947085,3,0.1967084126
Morgins,1875,Troistorrents,VS,710,0,0,1,1.408450704
Mörigen,2572,Mörigen,BE,1384,2,1.445086705,2,1.445086705
Möriken AG,5103,Möriken-Wildegg,AG,1254,0,0,0,0
Morissen,7143,Lumnezia,GR,251,0,0,0,0
Morlens,1674,Ursy,FR,364,0,0,0,0
Morlon,1638,Morlon,FR,571,0,0,0,0
Morrens VD,1054,Morrens (VD),VD,991,0,0,0,0
Morschach,6443,Morschach,SZ,921,0,0,0,0
Mörschwil,9402,Mörschwil,SG,3586,0,0,0,0
Mosen,6295,Hitzkirch,LU,279,0,0,0,0
Mosnang,9607,Mosnang,SG,1642,0,0,0,0
Mosogno,6611,Mosogno,TI,51,0,0,0,0
Mossel,1675,Ursy,FR,701,0,0,0,0
Môtier (Vully),1787,Mont-Vully,FR,346,0,0,0,0
Môtiers NE,2112,Val-de-Travers,NE,893,0,0,0,0
Mötschwil,3324,Mötschwil,BE,2304,37,16.05902778,40,17.36111111
Motto (Blenio),6721,Acquarossa,TI,586,0,0,0,0
Moudon,1510,Moudon,VD,5667,1,0.1764602082,3,0.5293806247
Moutier,2740,Moutier,BE,7608,3,0.3943217666,10,1.314405889
Movelier,2812,Movelier,JU,376,0,0,0,0
Mugena,6939,Alto Malcantone,TI,257,0,0,0,0
Muggio,6838,Breggia,TI,231,0,0,0,0
Muhen,5037,Muhen,AG,3749,0,0,4,1.066951187
Mühlau,5642,Mühlau,AG,1008,0,0,0,0
Mühlebach (Goms),3995,Ernen,VS,360,0,0,0,0
Mühlebach (Goms),3995,Ernen,VS,360,0,0,0,0
Mühleberg,3203,Mühleberg,BE,999,23,23.02302302,19,19.01901902
Mühledorf BE,3116,Mühledorf (BE),BE,868,9,10.36866359,7,8.064516129
Mühledorf SO,4583,Buchegg,SO,344,0,0,1,2.906976744
Mühlehorn,8874,Glarus Nord,GL,413,0,0,0,0
Mühlethal,4812,Zofingen,AG,1032,0,0,0,0
Mühlethurnen,3127,Mühlethurnen,BE,1390,14,10.07194245,17,12.23021583
Mühlrüti,9613,Mosnang,SG,420,0,0,0,0
Mülchi,3317,Fraubrunnen,BE,291,5,17.18213058,3,10.30927835
Mulegns,7455,Surses,GR,28,0,0,0,0
Mülenen,3711,Aeschi bei Spiez,BE,161,1,6.211180124,2,12.42236025
Müllheim Dorf,8555,Müllheim,TG,2812,2,0.7112375533,0,0
Müllheim-Wigoltingen,8554,Wigoltingen,TG,108,0,0,0,0
Mülligen,5243,Mülligen,AG,1018,0,0,3,2.946954813
Mümliswil,4717,Mümliswil-Ramiswil,SO,2147,2,0.9315323707,1,0.4657661854
Mumpé Medel,7183,Disentis/Mustér,GR,47,0,0,0,0
Mumpf,4322,Mumpf,AG,1335,0,0,0,0
Münchenbuchsee,3053,Münchenbuchsee,BE,9852,185,18.77791311,135,13.70280146
Münchenstein,4142,Münchenstein,BL,11688,0,0,1,0.0855578371
Münchenwiler,1797,Münchenwiler,BE,475,4,8.421052632,4,8.421052632
Münchringen,3303,Jegenstorf,BE,4716,91,19.29601357,78,16.5394402
Münchwilen AG,4333,Münchwilen (AG),AG,892,0,0,0,0
Münchwilen TG,9542,Münchwilen (TG),TG,4064,0,0,0,0
Mund,3903,Naters,VS,510,1,1.960784314,0,0
Münsingen,3110,Münsingen,BE,11155,145,12.99865531,122,10.93679964
Münster VS,3985,Münster-Geschinen,VS,417,0,0,0,0
Münsterlingen,8596,Münsterlingen,TG,1673,0,0,0,0
Muntelier,3286,Muntelier,FR,941,9,9.564293305,7,7.438894793
Müntschemier,3225,Müntschemier,BE,1302,15,11.52073733,19,14.59293395
Muolen,9313,Muolen,SG,1167,0,0,0,0
Muotathal,6436,Muotathal,SZ,2814,0,0,0,0
Mur (Vully) FR,1787,Mont-Vully,FR,346,0,0,0,0
Mur (Vully) VD,1787,Vully-les-Lacs,VD,346,0,0,0,0
Muralto,6600,Muralto,TI,11103,1,0.090065748,0,0
Muraz (Collombey),1893,Collombey-Muraz,VS,3351,0,0,0,0
Muraz (Sierre),3960,Sierre,VS,13306,0,0,1,0.07515406583
Murg,8877,Quarten,SG,765,0,0,0,0
Murgenthal,4853,Murgenthal,AG,1223,1,0.8176614881,1,0.8176614881
Murgenthal,4853,Murgenthal,AG,1223,1,0.8176614881,1,0.8176614881
Muri AG,5630,Muri (AG),AG,7328,0,0,3,0.4093886463
