Ort,PLZ,Gemeindename,Kantonskürzel,Einwohner,YB (absolut),YB (relativ),SCB (absolut),SCB (relativ)
Bäretswil,8344,Bäretswil,ZH,3718,0,0,0,0
Bargen BE,3282,Bargen (BE),BE,1001,7,6.993006993,5,4.995004995
Bargen SH,8233,Bargen (SH),SH,290,0,0,0,0
Bäriswil BE,3323,Bäriswil,BE,1026,18,17.54385965,14,13.64522417
Barmelweid,5017,Erlinsbach (AG),AG,45,0,0,0,0
Bärschwil,4252,Bärschwil,SO,808,0,0,0,0
Barzheim,8241,Thayngen,SH,163,0,0,0,0
Basadingen,8254,Basadingen-Schlattingen,TG,1015,0,0,0,0
Basel,4001,Basel,BS,462,0,0,1,2.164502165
Basel,4051,Basel,BS,19260,0,0,2,0.1038421599
Basel,4052,Basel,BS,19501,0,0,1,0.05127942157
Basel,4052,Basel,BS,19501,0,0,1,0.05127942157
Basel,4053,Basel,BS,19261,1,0.0519183843,3,0.1557551529
Basel,4054,Basel,BS,19502,0,0,0,0
Basel,4055,Basel,BS,19422,0,0,0,0
Basel,4056,Basel,BS,17980,1,0.05561735261,1,0.05561735261
Basel,4057,Basel,BS,23343,2,0.08567879022,0,0
Basel,4058,Basel,BS,21980,2,0.09099181074,1,0.04549590537
Basel,4059,Basel,BS,6675,1,0.1498127341,0,0
Basse-Nendaz,1996,Nendaz,VS,1156,0,0,0,0
Bassecourt,2854,Haute-Sorne,JU,3514,1,0.2845759818,0,0
Bassersdorf,8303,Bassersdorf,ZH,11350,0,0,0,0
Bassins,1269,Bassins,VD,1303,0,0,1,0.7674597084
Bätterkinden,3315,Bätterkinden,BE,2468,46,18.63857374,11,4.457050243
Bätterkinden,3315,Bätterkinden,BE,2468,46,18.63857374,11,4.457050243
Bättwil,4112,Bättwil,SO,1185,0,0,0,0
Bauen,6466,Bauen,UR,172,0,0,0,0
Baulmes,1446,Baulmes,VD,1016,0,0,0,0
Bauma,8494,Bauma,ZH,2702,0,0,0,0
Bavois,1372,Bavois,VD,878,0,0,0,0
Bazenheid,9602,Kirchberg (SG),SG,3652,0,0,0,0
Beatenberg,3803,Beatenberg,BE,1044,4,3.831417625,16,15.3256705
Beckenried,6375,Beckenried,NW,3387,0,0,2,0.5904930617
Bedano,6930,Bedano,TI,1529,0,0,0,0
Bedigliora,6981,Bedigliora,TI,347,0,0,0,0
Bedigliora,6981,Bedigliora,TI,347,0,0,0,0
Bedretto,6781,Bedretto,TI,45,0,0,0,0
Beggingen,8228,Beggingen,SH,505,0,0,0,0
Begnins,1268,Begnins,VD,1657,0,0,0,0
Beinwil (Freiamt),5637,Beinwil (Freiamt),AG,1069,0,0,0,0
Beinwil am See,5712,Beinwil am See,AG,2964,0,0,0,0
Beinwil SO,4229,Beinwil (SO),SO,271,0,0,0,0
Belalp,3914,Naters,VS,231,0,0,0,0
Belfaux,1782,Belfaux,FR,2992,0,0,0,0
Bellach,4512,Bellach,SO,5163,4,0.7747433663,18,3.486345148
Bellelay,2713,Saicourt,BE,171,0,0,0,0
Bellerive VD,1585,Vully-les-Lacs,VD,575,0,0,1,1.739130435
Bellevue,1293,Bellevue,GE,3247,0,0,0,0
Bellikon,5454,Bellikon,AG,1563,0,0,3,1.919385797
Bellinzona,6500,Bellinzona,TI,16482,0,0,0,0
Bellinzona,6503,Bellinzona,TI,1480,0,0,0,0
Bellmund,2564,Bellmund,BE,1582,6,3.792667509,5,3.160556258
Bellwald,3997,Bellwald,VS,435,0,0,0,0
Belmont-sur-Lausanne,1092,Belmont-sur-Lausanne,VD,3545,0,0,0,0
Belmont-sur-Yverdon,1432,Belmont-sur-Yverdon,VD,358,0,0,0,0
Belp,3123,Belp,BE,11006,147,13.35635108,211,19.17136108
Belpberg,3124,Belp,BE,340,2,5.882352941,5,14.70588235
Belprahon,2744,Belprahon,BE,314,0,0,0,0
Benglen,8121,Fällanden,ZH,1985,0,0,0,0
Benken SG,8717,Benken (SG),SG,2803,0,0,1,0.3567606136
Benken ZH,8463,Benken (ZH),ZH,828,0,0,0,0
Bennau,8836,Einsiedeln,SZ,1194,0,0,0,0
Bennwil,4431,Bennwil,BL,643,0,0,3,4.66562986
Benzenschwil,5636,Merenschwand,AG,621,0,0,0,0
Bercher,1038,Bercher,VD,1149,0,0,0,0
Berg (Dägerlen),8471,Dägerlen,ZH,346,0,0,0,0
Berg am Irchel,8415,Berg am Irchel,ZH,404,0,0,0,0
Berg SG,9305,Berg (SG),SG,838,0,0,0,0
Berg TG,8572,Berg (TG),TG,2383,0,0,0,0
Berg TG,8572,Berg (TG),TG,2383,0,0,0,0
Bergdietikon,8962,Bergdietikon,AG,2524,0,0,0,0
Bergün/Bravuogn,7482,Bergün/Bravuogn,GR,393,0,0,0,0
Berikon,8965,Berikon,AG,4490,0,0,2,0.4454342984
Beringen,8222,Beringen,SH,3878,0,0,0,0
Berken,3376,Berken,BE,317,0,0,0,0
Berlens,1680,Mézières (FR),FR,4973,0,0,1,0.2010858637
Berlingen,8267,Berlingen,TG,866,0,0,0,0
Bern,3004,Bern,BE,3376,76,22.51184834,24,7.109004739
Bern,3005,Bern,BE,4674,91,19.46940522,49,10.48352589
Bern,3006,Bern,BE,18304,323,17.64641608,154,8.413461538
Bern,3007,Bern,BE,14029,394,28.08468173,127,9.052676598
Bern,3008,Bern,BE,8884,149,16.77172445,89,10.01800991
Bern,3010,Bern,BE,61,1,16.39344262,1,16.39344262
Bern,3011,Bern,BE,13671,161,11.77675371,72,5.266622778
Bern,3011,Bern,BE,13671,161,11.77675371,72,5.266622778
Bern,3012,Bern,BE,12965,233,17.97146163,76,5.861935981
Bern,3013,Bern,BE,9500,358,37.68421053,74,7.789473684
Bern,3014,Bern,BE,12859,829,64.46846567,190,14.77564352
Bern,3015,Bern,BE,2915,26,8.919382504,20,6.861063465
Bern,3018,Bern,BE,15452,188,12.16670981,165,10.67822936
Bern,3019,Bern,BE,973,9,9.249743063,15,15.41623844
Bern,3020,Bern,BE,500,5,10,9,18
Bern,3027,Bern,BE,10685,137,12.82171268,117,10.94992981
Berneck,9442,Berneck,SG,3798,0,0,0,0
Bernex,1233,Bernex,GE,9758,0,0,0,0
Bernhardzell,9304,Waldkirch,SG,957,0,0,0,0
Berolle,1149,Berolle,VD,298,0,0,0,0
Beromünster,6215,Beromünster,LU,2785,0,0,2,0.7181328546
Berschis,8892,Walenstadt,SG,630,0,0,0,0
Bertschikon,8543,Wiesendangen,ZH,433,0,0,0,0
Bertschikon (Gossau ZH),8614,Gossau (ZH),ZH,1162,0,0,0,0
Berzona,6661,Isorno,TI,152,0,0,0,0
Besazio,6863,Mendrisio,TI,542,0,0,0,0
Besenbüren,5627,Besenbüren,AG,576,0,0,0,0
Besencens,1609,Saint-Martin (FR),FR,573,0,0,0,0
Betschwanden,8777,Glarus Süd,GL,202,0,0,0,0
Betten,3991,Bettmeralp,VS,159,0,0,0,0
Bettenhausen,3366,Bettenhausen,BE,471,5,10.61571125,2,4.246284501
Bettens,1042,Bettens,VD,1035,0,0,0,0
Bettingen,4126,Bettingen,BS,1150,0,0,0,0
Bettlach,2544,Bettlach,SO,4835,4,0.8273009307,4,0.8273009307
Bettmeralp,3992,Bettmeralp,VS,268,1,3.731343284,0,0
Bettwiesen,9553,Bettwiesen,TG,1149,0,0,0,0
Bettwil,5618,Bettwil,AG,561,0,0,0,0
Beurnevésin,2935,Beurnevésin,JU,131,0,0,0,0
Beuson (Nendaz),1996,Nendaz,VS,1156,0,0,0,0
Bevaix,2022,Bevaix,NE,3872,0,0,0,0
Bever,7502,Bever,GR,633,0,0,0,0
Bever,7502,Bever,GR,633,0,0,0,0
Bévilard,2735,Valbirse,BE,1702,1,0.5875440658,4,2.350176263
Bex,1880,Bex,VD,6352,1,0.1574307305,1,0.1574307305
Biasca,6710,Biasca,TI,6164,0,0,0,0
Biberen,3206,Ferenbalm,BE,669,3,4.484304933,3,4.484304933
Biberist,4562,Biberist,SO,8124,21,2.58493353,27,3.323485968
Bibern SH,8242,Thayngen,SH,270,0,0,0,0
Bibern SO,4578,Buchegg,SO,237,0,0,1,4.219409283
Biberstein,5023,Biberstein,AG,1492,0,0,1,0.6702412869
Bichelsee,8363,Bichelsee-Balterswil,TG,987,0,0,0,0
Bichwil,9248,Oberuzwil,SG,1025,0,0,0,0
Bidogno,6958,Capriasca,TI,693,0,0,0,0
Biel VS,3989,Grafschaft,VS,22,0,0,0,0
Biel-Benken BL,4105,Biel-Benken,BL,3255,0,0,1,0.3072196621
Biel/Bienne,2502,Biel/Bienne,BE,17609,10,0.5678914192,10,0.5678914192
Biel/Bienne,2503,Biel/Bienne,BE,16930,7,0.413467218,11,0.6497341996
Biel/Bienne,2504,Biel/Bienne,BE,17572,6,0.3414523105,12,0.682904621
Biel/Bienne,2505,Biel/Bienne,BE,920,0,0,0,0
Biembach im Emmental,3419,Hasle bei Burgdorf,BE,688,6,8.720930233,2,2.906976744
Bière,1145,Bière,VD,1508,0,0,0,0
Biessenhofen,8580,Amriswil,TG,11153,0,0,0,0
Bieudron (Nendaz),1996,Nendaz,VS,1156,0,0,0,0
Biezwil,4585,Biezwil,SO,331,2,6.042296073,5,15.10574018
Bigenthal,3513,Walkringen,BE,567,2,3.527336861,3,5.291005291
Biglen,3507,Biglen,BE,1747,15,8.586147682,19,10.87578706
Bignasco,6676,Cevio,TI,85,0,0,0,0
Bigorio,6954,Capriasca,TI,452,0,0,0,0
Billens,1681,Billens-Hennens,FR,539,0,0,0,0
Bilten,8865,Glarus Nord,GL,1940,0,0,0,0
Binn,3996,Binn,VS,153,0,0,0,0
Binningen,4102,Binningen,BL,14859,0,0,0,0
Binz,8122,Maur,ZH,1715,0,0,0,0
Bioggio,6934,Bioggio,TI,1391,0,0,0,0
Biogno-Beride,6981,Croglio,TI,347,0,0,0,0
Bioley-Magnoux,1407,Bioley-Magnoux,VD,382,0,0,0,0
Bioley-Orjulaz,1042,Bioley-Orjulaz,VD,1035,0,0,0,0
Bionnens,1670,Ursy,FR,1181,0,0,0,0
Birgisch,3903,Naters,VS,510,1,1.960784314,0,0
Birmensdorf ZH,8903,Birmensdorf (ZH),ZH,6087,1,0.1642845408,1,0.1642845408
Birmenstorf AG,5413,Birmenstorf (AG),AG,2856,0,0,1,0.350140056
Bironico,6804,Monteceneri,TI,610,0,0,0,0
Birr,5242,Birr,AG,4318,0,0,3,0.6947660954
Birrhard,5244,Birrhard,AG,663,0,0,1,1.508295626
Birrwil,5708,Birrwil,AG,1003,0,0,1,0.9970089731
Birsfelden,4127,Birsfelden,BL,10234,1,0.09771350401,0,0
Birwinken,8585,Birwinken,TG,314,0,0,0,0
Bischofszell,9220,Bischofszell,TG,5152,0,0,0,0
Bisisthal,6436,Muotathal,SZ,2814,0,0,0,0
Bissone,6816,Bissone,TI,879,0,0,0,0
Bister,3983,Bister,VS,551,0,0,0,0
Bitsch,3982,Bitsch,VS,856,0,0,0,0
Bivio,7457,Surses,GR,196,0,0,0,0
Blankenburg,3771,Zweisimmen,BE,367,0,0,6,16.34877384
Blatten (Lötschen),3919,Blatten,VS,290,2,6.896551724,0,0
Blatten b. Naters,3914,Naters,VS,231,0,0,0,0
Blauen,4223,Blauen,BL,688,0,0,2,2.906976744
