GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
2.01412E+11,12/30/14,Iraq,Mosul,Islamic State of Iraq and the Levant (ISIL),0,,,,,0,0,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Iraq,Mosul,Islamic State of Iraq and the Levant (ISIL),0,,,,,0,0,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Iraq,Baghdad,Unknown,0,,,,,0,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Iraq,Baghdad,Unknown,0,,,,,0,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Iraq,Baghdad,Unknown,0,,,,,0,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Iraq,Baghdad,Unknown,0,,,,,1,2,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Iraq,Baghdad,Unknown,0,,,,,2,9,Private Citizens & Property,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Iraq,Baghdad,Unknown,0,,,,,2,5,Police,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/30/14,Afghanistan,Zarkashan,Taliban,0,,,,,4,1,Terrorists/Non-state Militia,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Pakistan,Kurram district,Tehrik-i-Taliban Pakistan (TTP),0,,,,,0,0,Educational Institution,,,South Asia,Facility/Infrastructure Attack,,,Incendiary,,,
2.01412E+11,12/30/14,Pakistan,Mandan,Tehrik-i-Taliban Pakistan (TTP),0,,,,,0,0,Educational Institution,,,South Asia,Facility/Infrastructure Attack,,,Incendiary,,,
2.01412E+11,12/30/14,Afghanistan,Saydabad district,Taliban,0,,,,,1,1,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Afghanistan,Deh Rahwod district,Taliban,0,,,,,3,5,Police,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/30/14,Pakistan,Karachi,Unknown,0,,,,,1,1,Private Citizens & Property,,,South Asia,Armed Assault,,,Firearms,,,
2.01412E+11,12/30/14,Pakistan,Mohmand district,Unknown,0,,,,,1,0,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Pakistan,Mohmand district,Jamaat-ul-Ahrar,0,,,,,0,2,Military,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
2.01412E+11,12/30/14,Yemen,As Saq,Al-Qaida in the Arabian Peninsula (AQAP),0,,,,,0,0,Business,,,Middle East & North Africa,Armed Assault,,,Firearms,,,
2.01412E+11,12/30/14,Somalia,Daynunay,Al-Shabaab,0,,,,,Unknown,Unknown,Military,,,Sub-Saharan Africa,Armed Assault,,,Firearms,,,
