,d1,d2,area,population,density,lat,lon,B,K,L,shortname,x,y,Lp10T,Bp10T,Kp10T,logdensity
???? ???,????,???,482.95,30965.0,64.11636815405322,35.3221896,128.261658,0.0,0.0,0.0,??,7,16,0.0,0.0,0.0,1.8069689139421592
???? ???,????,???,712.62,334765.0,469.76649546743005,35.179981700000006,128.1076213,1.0,2.0,13.0,??,6,17,0.38833211357220737,0.02987170104401595,0.0597434020880319,2.6718820389369116
???? ???,????,???,533.09,62085.0,116.46251102065315,35.544556299999996,128.4922143,0.0,0.0,2.0,??,7,15,0.3221390029797858,0.0,0.0,2.0661861495935527
???? ???,????,???,734.87,1081499.0,1471.6875093553965,35.25384329999999,128.64026090000002,4.0,4.0,33.0,??,7,18,0.305132043580253,0.03698570225215187,0.03698570225215187,3.1678156039078127
???? ???,????,???,236.5,140569.0,594.3720930232557,34.8544227,128.43318200000002,0.0,0.0,3.0,??,8,20,0.21341832125148505,0.0,0.0,2.774058410223367
???? ???,????,???,675.57,52301.0,77.41758811078051,35.0672108,127.7512687,0.0,0.0,1.0,??,5,19,0.19120093306055333,0.0,0.0,1.8888396370617866
???? ???,????,???,417.0,68926.0,165.29016786570745,35.2725591,128.4064797,0.0,0.0,1.0,??,7,17,0.14508313263499986,0.0,0.0,2.218247020730154
???? ???,????,???,725.03,41072.0,56.64869039901797,35.52046139999999,127.7251763,0.0,0.0,1.0,??,6,16,0.24347487339306584,0.0,0.0,1.7531898743220262
???? ???,????,???,983.42,53381.0,54.28097862561266,35.566575799999995,128.16579950000002,0.0,0.0,1.0,??,7,14,0.18733257151420918,0.0,0.0,1.7346476689042831
???? ???,????,???,411.58,242809.0,589.9436318577191,35.8250555,128.7415441,1.0,2.0,8.0,??,11,12,0.3294770786914818,0.041184634836435224,0.08236926967287045,2.7708105175020763
???? ???,????,???,1323.85,272331.0,205.71137213430526,35.8561719,129.2247477,1.0,0.0,7.0,??,12,12,0.2570401459988029,0.03672002085697185,0.0,2.3132583010221857
???? ???,????,???,383.7,35679.0,92.98670836591087,35.7261415,128.262953,0.0,0.0,1.0,??,7,13,0.2802769135906275,0.0,0.0,1.9684208744046485
???? ???,????,???,616.1,401222.0,651.2286966401557,36.119485,128.34457340000003,2.0,0.0,15.0,??,9,10,0.3738578642247932,0.04984771522997243,0.0,2.8137335296542956
???? ???,????,???,614.15,25377.0,41.32052430188065,36.2428355,128.5727702,0.0,0.0,0.0,??,9,11,0.0,0.0,0.0,1.616165823495429
???? ???,????,???,1009.56,137796.0,136.49114465707834,36.1398393,128.1135947,0.0,0.0,5.0,??,8,11,0.36285523527533453,0.0,0.0,2.1351044759092344
???? ???,????,???,912.0,77142.0,84.58552631578948,36.586148,128.1867972,0.0,0.0,3.0,??,9,8,0.3888932099245547,0.0,0.0,1.9272960559592436
???? ???,????,???,1201.0,34539.0,28.75853455453789,36.8930933,128.7323752,0.0,0.0,1.0,??,11,9,0.2895277801905093,0.0,0.0,1.4587667519788277
???? ???,????,???,1254.82,106990.0,85.2632250043831,36.4109466,128.1590828,1.0,0.0,1.0,??,8,9,0.09346667912889055,0.09346667912889055,0.0,1.9307617554178353
???? ???,????,???,616.28,46543.0,75.52248977737392,35.9190079,128.28297379999998,0.0,0.0,1.0,??,8,12,0.21485508024837247,0.0,0.0,1.8780762990700803
???? ???,????,???,1519.0,168866.0,111.16919025674784,36.568354299999996,128.729357,1.0,0.0,5.0,??,10,10,0.29609275993983397,0.059218551987966786,0.0,2.045984442322774
???? ???,????,???,741.05,42053.0,56.747857769381284,36.41507989999999,129.36596809999998,0.0,0.0,1.0,??,12,10,0.23779516324637956,0.0,0.0,1.7539494715656543
???? ???,????,???,815.11,18666.0,22.899976690262665,36.666655799999994,129.1124007,0.0,0.0,0.0,??,11,10,0.0,0.0,0.0,1.3598350402745845
???? ???,????,???,668.45,114334.0,171.04345874784946,36.80568579999999,128.6240551,0.0,0.0,4.0,??,10,9,0.349852187450802,0.0,0.0,2.2331064700204424
