Date,D0,D1,Value
2005-11,M0,USD1,1.3098
2005-11,M0,CAD1,1.1074
2005-11,M0,ARS100,44.1027
2005-11,M0,BRL100,59.1636
2005-11,M0,MXN100,12.2618
2005-11,M0,ZAR1,0.1965
2005-11,M0,JPY100,1.106191
2005-11,M0,AUD1,0.963205
2005-11,M0,CNY100,16.224
2005-11,M0,HKD100,16.890005
2005-11,M0,KRW100,0.1258
2005-11,M0,MYR100,34.6595
2005-11,M0,NZD1,0.9035
2005-11,M0,SGD100,77.1127
2005-11,M0,THB100,3.1841
2005-11,M0,XDR1,1.870317
2005-12,M0,EUR1,1.5478
2005-12,M0,GBP1,2.2788
2005-12,M0,DKK100,20.7605
2005-12,M0,NOK100,19.4019
2005-12,M0,CZK100,5.3418
2005-12,M0,HUF100,0.6122
2005-12,M0,PLN100,40.16
2005-12,M0,RUB100,4.531
2005-12,M0,SEK100,16.4029
2005-12,M0,TRY100,96.4
2005-12,M0,USD1,1.3047
2005-12,M0,CAD1,1.1231
2005-12,M0,ARS100,43.3043
2005-12,M0,BRL100,57.2905
2005-12,M0,MXN100,12.2752
2005-12,M0,ZAR1,0.2049
2005-12,M0,JPY100,1.100257
2005-12,M0,AUD1,0.968681
2005-12,M0,CNY100,16.16922727
2005-12,M0,HKD100,16.826224
2005-12,M0,KRW100,0.1276
2005-12,M0,MYR100,34.5262
2005-12,M0,NZD1,0.9067
2005-12,M0,SGD100,77.8914
2005-12,M0,THB100,3.1729
2005-12,M0,XDR1,1.868
2006-01,M0,EUR1,1.5491
2006-01,M0,GBP1,2.2569
2006-01,M0,DKK100,20.7576
2006-01,M0,NOK100,19.2571
2006-01,M0,CZK100,5.3932
2006-01,M0,HUF100,0.6174
2006-01,M0,PLN100,40.5157
2006-01,M0,RUB100,4.509
2006-01,M0,SEK100,16.6305
2006-01,M0,TRY100,95.69381
2006-01,M0,USD1,1.2779
2006-01,M0,CAD1,1.1031
2006-01,M0,ARS100,41.9048
2006-01,M0,BRL100,56.1476
2006-01,M0,MXN100,12.1033
2006-01,M0,ZAR1,0.2095
2006-01,M0,JPY100,1.107486
2006-01,M0,AUD1,0.958167
2006-01,M0,CNY100,15.85031818
2006-01,M0,HKD100,16.479486
