,catégorie,rang,année,pays,temps net,Age,vitesse
113,Escaladelite Femmes,---,1989,BDI,--------,26.0,
114,Escaladelite Femmes,17.,1992,ERI,"25.46,5",23.0,17.254270567445513
115,Escaladelite Femmes,21.,1988,BDI,"26.14,3",27.0,16.806793405500517
116,Escaladelite Femmes,10.,1988,BLR,"25.14,6",27.0,17.47315676449535
117,Escaladelite Femmes,2.,1987,KEN,"24.33,9",28.0,18.05250831998028
118,Escaladelite Femmes,11.,1989,UKR,"25.16,3",26.0,17.461351985057426
119,Escaladelite Femmes,28.,1986,ETH,"27.20,3",29.0,16.151895011579604
120,Escaladelite Femmes,1.,1994,ETH,"24.20,8",21.0,18.150198281559817
121,Escaladelite Femmes,5.,1983,ETH,"24.56,1",32.0,17.889336753389518
122,Escaladelite Femmes,---,1995,ETH,--------,20.0,
123,Escaladelite Femmes,86.,1980,CH,"32.19,7",35.0,13.646613038481846
124,Escaladelite Femmes,16.,1987,SK,"25.36,2",28.0,17.32434350603265
125,Escaladelite Femmes,4.,1989,CZ,"24.51,7",26.0,17.92144226455113
126,Femmes I,6.,1986,D,"19.31,2",29.0,22.7516570008285
127,Escaladelite Femmes,53.,1987,CH,"30.07,7",28.0,14.608504837583535
128,Escaladelite Femmes,---,1985,CH,--------,30.0,
129,Escaladelite Femmes,29.,1972,CH,"27.21,2",43.0,16.146552991327358
130,Escaladelite Femmes,---,1984,CH,--------,31.0,
131,Escaladelite Femmes,22.,1988,F,"26.16,7",27.0,16.79137845377766
132,Escaladelite Femmes,30.,1989,F,"27.23,1",26.0,16.135286989093313
133,Escaladelite Femmes,8.,1989,P,"25.13,2",26.0,17.48289033901003
134,Escaladelite Femmes,25.,1986,CH,"27.08,7",29.0,16.221065455753685
135,Escaladelite Femmes,69.,1989,CH,"31.33,1",26.0,14.023810283744535
136,Escaladelite Hommes,---,1986,F,--------,29.0,
137,Escaladelite Hommes,17.,1990,CH,"21.38,8",25.0,20.54329530577894
138,Escaladelite Hommes,118.,1975,RUS,"25.18,9",40.0,17.44332843701616
139,Escaladelite Femmes,14.,1985,RUS,"25.19,8",30.0,17.437098182395427
140,Escaladelite Femmes,46.,1977,CH,"29.08,9",38.0,15.10467874454261
141,Escaladelite Hommes,11.,1989,D,"21.22,3",26.0,20.70301088441785
142,Escaladelite Hommes,24.,1990,ETH,"21.53,8",25.0,20.40022286191847
143,Escaladelite Hommes,6.,1993,CH,"21.19,0",22.0,20.735252477583767
144,Escaladelite Hommes,89.,1973,CH,"24.30,6",42.0,18.077018020241916
145,Escaladelite Hommes,57.,1990,F,"23.20,1",25.0,18.93797681134434
146,Escaladelite Hommes,44.,1989,F,"22.52,5",26.0,19.50632630410655
147,Escaladelite Hommes,---,1987,ETH,--------,28.0,
148,Escaladelite Hommes,9.,1992,CH,"21.20,8",23.0,20.71765371557903
149,Escaladelite Hommes,48.,1985,CH,"22.57,9",30.0,19.45967491917268
150,Escaladelite Hommes,27.,1986,CH,"22.00,9",29.0,19.963651233586262
151,Escaladelite Hommes,---,1989,CH,--------,26.0,
152,Escaladelite Femmes,13.,1990,KEN,"25.18,3",25.0,17.44748441408887
153,Escaladelite Femmes,19.,1973,I,"26.04,2",42.0,16.871976038706705
172,Femmes IV,373.,1964,CH,"29.02,4",51.0,15.138506063947078
173,Hommes III,1552.,1966,CH,"38.55,9",49.0,11.395005057185095
179,Femmes III,121.,1972,F,"23.15,8",43.0,18.973141031177132
192,Hommes III,1119.,1973,F,"35.43,2",42.0,12.400654775344321
200,Femmes V,55.,1950,CH,"28.23,5",65.0,15.561537099344786
202,Femmes II,703.,1976,F,"28.01,2",39.0,15.685420534056833
279,Hommes I,1214.,1989,CH,"38.48,2",26.0,11.417805727353048
281,Hommes III,1703.,1967,CH,"40.28,5",48.0,10.9067891274668
282,Hommes III,1964.,1969,CH,"49.35,9",46.0,8.901720051054518
283,Femmes II,671.,1984,F,"27.44,6",31.0,16.00889018436202
284,Hommes III,891.,1968,CH,"34.33,9",47.0,12.795363871982296
285,Hommes II,616.,1978,CH,"32.15,7",37.0,13.663588021270643
286,Hommes III,922.,1972,F,"34.40,4",43.0,12.771189396581791
287,Hommes I,478.,1990,CH,"32.01,1",25.0,13.725906719565149
288,Hommes III,1222.,1972,CH,"36.19,9",43.0,12.137904361998952
289,Femmes II,870.,1985,F,"29.18,9",30.0,15.052930898626197
290,Femmes I,922.,1987,F,"29.12,0",28.0,15.0885989010989
291,Hommes II,1947.,1984,CH,"42.10,9",31.0,10.434348951530552
292,Hommes III,1461.,1966,CH,"38.07,0",49.0,11.541371158392437
293,Femmes III,858.,1973,CH,"29.42,3",42.0,14.933215511674542
