,nom,temps net
78,Combe Nicolas,"26.08,4"
79,Meubry Philippe,"26.08,9"
80,Sivakumaran Arjuna,"26.06,2"
81,Terrier Herve,"26.10,0"
82,Gattone Sylvain,"26.12,6"
83,Richard Jean-Marc,"26.14,1"
84,Demlek Nabil,"26.15,3"
85,Bartolini Alain,"26.16,0"
86,Gaillard Frederic,"26.18,3"
87,Bertuchoz Urbain,"26.19,3"
88,Theraulaz Didier,"26.22,3"
89,Rodrigues De Almeida Tony,"26.24,7"
90,Geinoz Nicolas,"26.25,7"
91,Meylan Martial,"26.28,4"
92,Stampanoni Leonida,"26.32,9"
93,Lepori Domenico,"26.33,3"
94,Nidegger Damien,"26.31,8"
95,Jotterand Frank,"26.34,8"
96,Cool Antoine,"26.36,3"
97,Alig Jacobson Danny,"26.42,8"
98,Baudet Loic,"26.40,8"
99,Calame Nicolas,"26.42,9"
100,Husser Joris,"26.44,2"
101,Martins Manuel,"26.47,1"
102,Wilhelm Christophe,"26.50,2"
103,Meroz Christophe,"26.48,6"
104,Vaucher Gregory,"26.53,1"
105,Martin Siro,"26.56,6"
106,Kuepfer Thomas,"26.55,5"
107,Rossier Alain,"26.56,5"
108,Gabioud Frederic,"26.58,6"
109,Poget Pierre-Alain,"26.57,3"
110,Leuliet Frederic,"27.05,0"
111,Trezzini Ricco,"27.05,8"
112,Hairer Daniel,"27.06,4"
113,Jeanmaire Yannick,"27.07,9"
114,Gay Laurent,"27.07,9"
115,Desfonds Patrick,"27.11,7"
116,Rihm Stefan,"27.10,9"
117,Rieder Marcel,"27.12,3"
118,Muller Valentin,"27.17,1"
119,Filliez Samuel,"27.15,4"
120,Mesnil Bastien,"27.21,1"
121,Badel Pierre,"27.19,1"
122,Bruegger Vincent,"27.19,5"
123,Oberholzer Damien,"27.20,9"
124,Guijarro Manuel,"27.22,4"
125,Richard Christian,"27.23,5"
126,Gagneret Yannick,"27.24,9"
127,Campolini Christophe,"27.27,1"
128,Mayer Timothy,"27.24,8"
129,Gertsch Silvain,"27.26,6"
130,Schaffter Clement,"27.28,3"
131,Rondags Daniel,"27.33,5"
132,Paredi Andreas,"27.34,8"
133,Jossi Sebastien,"27.38,4"
134,Gumy Laurent,"27.40,2"
135,Mancebo Francisco,"27.38,2"
136,Burke John,"27.44,4"
137,Zullig Jan,"27.41,6"
138,Hunziker Pierre,"27.44,6"
139,Cruz Carlos,"27.47,6"
140,Bell Stephen,"27.48,2"
141,Leveque Ludovic,"27.50,5"
142,Hutubessy Raymond,"27.52,4"
143,Mouton Pierre,"27.52,2"
144,Vilallonga Francois,"27.51,4"
145,Folly Olivier,"27.54,0"
146,Fabre Jean-Luc,"27.53,4"
147,Fabre Jerome,"27.56,3"
148,Depis Fabien,"27.52,6"
149,Fellay Laurent,"27.52,6"
150,Gabioud Michel,"27.59,1"
151,Paltani Stephane,"28.04,5"
152,Blemus Yoann,"28.03,9"
153,Voirol Ludovic,"28.07,3"
154,Cantivalli Antonio,"28.05,1"
155,Juan Joseph,"28.08,8"
156,Widmer Andreas,"28.09,9"
157,Aletru Aurelien,"28.06,6"
158,Perrillat Olivier,"28.10,8"
159,Suter Walter,"28.07,5"
160,Recchia Giuseppe,"28.11,4"
161,Chaussard Emmanuel,"28.09,1"
162,Jung Emmanuel,"28.07,9"
163,Duport Pascal,"28.10,1"
164,Berset Stephane,"28.14,4"
165,Roulin Sacha,"28.13,3"
166,Davet Jerome,"28.16,7"
167,Battiaz Claude-Alain,"28.17,5"
168,Hikmat Abdel,"28.19,1"
169,Favre-Bonte Patrick,"28.19,2"
170,Luyet Yves,"28.21,8"
171,Butty Stephane,"28.19,2"
172,Mirkovic Radovan,"28.22,5"
173,Dupriez Quentin,"28.24,8"
174,Musy Jean-Francois,"28.23,4"
175,Conti Pascal,"28.23,0"
176,Etter Florain,"28.21,3"
177,Fragniere Benoit,"28.21,8"
178,Mauron Gerard,"28.21,9"
179,Bocquet Ghislain,----
180,Francey Joel,"28.25,1"
181,Dutremee Pascal,"28.25,8"
182,Kalbfuss Didier,"28.25,8"
183,Mueller Henning,"28.29,8"
184,Ummel Beat,"28.32,7"
185,Fernier Pascal,"28.32,5"
186,Portela Javier,"28.33,9"
187,Le Floch Thierry,"28.33,8"
188,Vivot Gerald,"28.37,2"
189,Lancia Jerome,"28.33,6"
190,Petite Xavier,"28.34,9"
191,Baillif Frederic,"28.36,8"
192,Schenk Stephane,"28.33,6"
193,Viette Olivier,"28.33,3"
194,Cordonier Noel,"28.35,2"
195,Kretz Philippe,"28.35,3"
196,Blanchard Herve,"28.38,0"
197,Kammer Heinz,"28.39,2"
198,Hofer Thierry,"28.40,7"
199,Micheli Philippe,"28.42,2"
200,Stoeri Christophe,"28.44,2"
201,Figueiredo Crsitovao,"28.42,8"
202,Ferrari Hubert,"28.44,5"
203,Kayser Bengt,"28.48,0"
204,Spring Jerome,"28.42,8"
205,Garcia-Tinoco Guillermo,"28.46,0"
206,Romo Jose-Manuel,"28.48,8"
207,Giddey Olivier,"28.48,2"
208,Nicolier Philippe,"28.47,0"
209,Gigandet Sylvain,"28.50,2"
210,Gillieron Simon,"28.53,8"
211,Pasquier Jacques,"28.54,5"
212,Ruche Christophe,"28.54,0"
213,Helbling Serge,"28.56,6"
214,Farquet Patrick,"29.01,3"
215,Sprungli Olivier,"29.00,8"
216,Uldry Jean-Daniel,"29.02,6"
217,Poirier Jocelyn,"28.59,3"
218,Beney Raymond,"29.03,1"
219,Audisio David,"29.05,7"
220,De Pascali Fernando,"29.04,5"
221,Mugnier Xavier,"29.05,2"
222,Ricard Christophe,"29.06,0"
223,Gevisier Pascal,"29.03,7"
224,Maring Philippe,"29.08,7"
225,Miller John,"29.07,5"
226,Tavares Nuno,"29.07,5"
227,Gilliand Patrick,"29.10,1"
228,Wagner-Meige Udo,"29.07,1"
229,Liechti Yves,"29.12,0"
230,Tschopp Laurent,"29.17,7"
231,Gastaldi Giacomo,"29.16,9"
232,Grenno Raphael,"29.16,8"
233,Baumgartner Thomas,"29.17,6"
234,Goncalves Jaime,"29.24,8"
235,Verholen Frank,"29.22,0"
236,Emery Reto,"29.22,2"
237,Feller Richard,"29.26,3"
238,Ortiz Michael,"29.22,9"
239,Gaudiosi Roberto,"29.24,0"
240,Mauron Yvan,"29.31,0"
241,Fiorina Julien,"29.30,7"
242,Suter David,"29.28,7"
243,Lehmann Daniel,"29.32,7"
244,Papaux Pierre,"29.33,3"
245,Knopff Olivier,"29.35,6"
246,Schmieder Randy,"29.29,3"
247,Collin Philippe,"29.32,7"
248,Grand Cyril,"29.38,7"
249,Gauxachs Jose,"29.41,5"
250,Pilet Francois,"29.44,0"
251,Schuetz Jean-Paul,"29.43,5"
252,Menzel Jacques,"29.41,4"
253,Paris Philippe,"29.41,4"
254,Halfen Jean-Marie,"29.46,3"
255,Favre Cedric,"29.45,2"
256,Da Silva Marco,"29.47,3"
257,Roduit Pascal,"29.45,7"
258,Rebetez Daniel,"29.46,7"
259,Favre Thierry,"29.53,5"
260,Marq Jean-Baptiste,"29.51,5"
261,Lenaerts Frederick,"29.56,6"
262,Bloch Roland,"29.55,6"
263,Bianzina Walter,"29.55,3"
264,Glaettli Oliver,"29.57,1"
265,Gianora Thibault,"29.48,0"
266,Lamard David,"30.00,4"
267,Rouiller Philippe,"30.01,0"
268,Tuerler Marc,"30.01,9"
269,Baichi Malik,"30.02,9"
270,Gavin Bertrand,"30.04,0"
271,Schafeitel Pascal,"30.11,5"
272,Descoeudres Antoine,"30.11,9"
273,Ruedin Philippe,"30.06,9"
274,Rudaz David,"30.12,3"
275,Hottelier Jean-Jacques,"30.13,7"
276,Fleury Nicolas,"30.13,6"
277,Galletto Paolo,"30.12,5"
278,Dos Santos Bruno,"30.17,3"
279,Stidel Frederic,"30.17,2"
280,Bornand Nicolas,"30.17,3"
281,Vez Jean-Daniel,"30.20,3"
282,Herde Pierre-Alain,"30.21,9"
283,Decurnex Christian,"30.29,9"
284,Salamolard Antoine,"30.26,9"
285,Vacheron Thierry,"30.33,0"
286,Baichi Mehdi,"30.34,5"
287,Boucherie Antoine,"30.35,5"
288,Fort Pierre-Andre,"30.36,5"
289,Malaise Sebastien,"30.37,3"
290,Chollet Laurent,"30.42,4"
291,Perritaz Joel,"30.44,9"
292,Moschberger Kevin,"30.45,5"
293,Mathelier Guillaume,"30.49,1"
294,Garnier Pierre,"30.52,5"
295,Bifrare Frederic,"30.52,4"
296,Voce Maxime,"31.03,5"
297,Chabin Eric,"31.00,0"
298,Duhoux Hubert,"32.01,5"
299,Ecoffey Marc,"32.07,4"
300,Calame Daniel,"32.19,4"
301,Marfan Patrick,"37.43,3"
302,Hafsi Smain,"39.33,4"
303,Dorsaz Cyril,----
304,Dorsaz Cyril,
