,nom,temps net
231,Birlouez Dimitri,        ---- 
232,Martin Siro,"     27.40,7 "
233,Luyet Yves,"     27.46,4 "
234,Carre Cyril,"     27.44,1 "
235,Schnyder Xavier,"     27.44,2 "
236,Monnard Philippe,"     27.45,2 "
237,Doux Adrien,"     27.46,7 "
238,Pellaton Cyril,"     27.46,3 "
239,Hirtz Christian,"     27.46,8 "
240,Ferrer Gustavo,"     27.45,9 "
241,Gaille Laurent,"     27.45,7 "
242,Stucker Olivier,"     27.53,1 "
243,Dechevrens Alain,"     27.49,1 "
244,Dutremee Pascal,"     27.52,6 "
245,Rod Patrick,"     27.54,2 "
246,Basler Marcel,"     27.53,5 "
247,Mercier Philippe,"     27.53,9 "
248,Glaus Rene,"     27.59,4 "
249,Portela Javier,"     27.58,1 "
250,Lueke Michael,"     28.00,6 "
251,Blanc Christian,"     27.58,1 "
252,Roduit Blaise,"     27.59,2 "
253,Marchand Jerome,"     28.04,1 "
254,Fantoli Regis,"     28.03,7 "
255,Dumalle Florian,"     28.02,5 "
256,Bruegger Vincent,"     28.02,9 "
257,Bertuchoz Urbain,"     28.07,9 "
258,Famchon Franck,        ---- 
259,Thiebaud Maurice,"     28.01,1 "
260,Cortat Bernard,"     28.09,4 "
261,De Vries Reilingh Daniel,"     28.10,1 "
262,Fischer Georg,"     28.07,8 "
263,Punzi Ludovic,"     28.12,2 "
264,Rollinson Phil,"     28.10,6 "
265,Harden Bernd,"     28.12,4 "
266,Pfersich Thierry,"     28.15,5 "
267,Herren Pierre-Alain,"     28.10,9 "
268,Penzo Claudio,"     28.15,2 "
269,Baylot Lionel,"     28.10,6 "
270,Goux Philippe,        ---- 
271,Dixmerias Olivier,"     28.23,4 "
272,Verrier Damien,"     28.21,6 "
273,Paget Sebastien,"     28.23,4 "
274,Laedermann Alexandre,"     28.25,1 "
275,Favre-Bonte Patrick,"     28.17,8 "
276,Deelder Wouter,"     28.19,4 "
277,Roche Jean-Louis,"     28.23,1 "
278,Panchaud Christophe,"     28.20,6 "
279,Matthey Yan,"     28.20,4 "
280,Giriens Pierre-Yves,"     28.22,4 "
281,Perreard Xavier,"     28.26,2 "
282,Gori Francois,        ---- 
283,Sardinha Alberto,"     28.25,5 "
284,Baudrand Yves,"     28.22,1 "
285,Daudin Benoit,"     28.22,9 "
286,Frey Max-Andre,"     28.24,1 "
287,Delavy Cedric,"     28.21,8 "
288,Rall Fabrice,"     28.23,1 "
289,Boillon Jerome,        ---- 
290,Mandallaz Luc,"     28.24,2 "
291,Recchia Giuseppe,"     28.27,6 "
292,Guijarro Manuel,"     28.30,4 "
293,Fleurence Pascal,"     28.30,6 "
294,Jenny Christian,"     28.31,3 "
295,Moeglin Pierre-Etienne,"     28.34,2 "
296,Dorthe Dominique,"     28.40,5 "
297,Wyss Alain,"     28.35,3 "
298,Faes Antonin,"     28.33,3 "
299,Bozzini Davide,"     28.40,9 "
300,Demlek Nabil,"     28.43,2 "
301,Morvan Jean-Gael,"     28.37,1 "
302,Bouvier Fabrice,"     28.41,1 "
303,Gevisier Pascal,        ---- 
304,Boskin Boris,"     28.38,5 "
305,Marti Guillaume,"     28.36,7 "
306,Dolizy Frederic,"     28.42,7 "
307,Koglin Laurent,"     28.36,3 "
308,Gaillard Frederic,"     28.42,9 "
309,Dufournet Marc,        ---- 
310,Adatte Michel,"     28.45,6 "
311,Petite Xavier,"     28.41,5 "
312,Thomi Andre,"     28.40,8 "
313,Widmer Bernard,"     28.46,3 "
314,Micheli Philippe,"     28.47,2 "
315,Benavent Sergio,"     28.46,0 "
316,Blanc Eric,"     28.49,0 "
317,Mino Pascal,"     28.48,5 "
318,Pelka Roman,"     28.47,3 "
319,Roberts Graham,"     28.48,4 "
320,Gloaguen Jean-Marie,        ---- 
321,Leblond Guillaume,"     28.48,3 "
322,Nicod Christophe,        ---- 
323,Willemin Alain,"     28.51,5 "
324,Pugin Yann,"     28.55,4 "
325,Gay Laurent,"     28.54,6 "
326,Metral Jean Claude,"     28.54,1 "
327,Zimmerman Laurent,"     28.56,2 "
328,Aylward Bruce,"     29.00,2 "
329,Meroz Christophe,"     28.53,5 "
330,De Flaviis Gianni,"     28.58,5 "
331,Ardiet Regis,"     29.00,2 "
332,Debieux Joel,"     28.56,2 "
333,Mauron Gerard,"     28.56,5 "
334,Eremia Radu,"     28.58,0 "
335,Strecker Jerome,"     28.57,6 "
336,Aletru Aurelien,"     28.58,2 "
337,Marchand Patrick,"     29.06,5 "
338,Maestre Juan,"     29.00,3 "
339,Cruz Carlos,"     28.53,5 "
340,Rochat Alexis,        ---- 
341,Butty Stephane,"     29.03,4 "
342,Wallerand Olivier,"     29.05,7 "
343,Desgeorges Fabrice,"     29.04,5 "
344,Curtz Noe,"     29.02,0 "
345,Sintes Marc,"     29.04,2 "
346,Grand Cyril,"     29.03,8 "
347,Grenno Raphael,"     29.11,1 "
348,Adatte Gael,"     29.06,4 "
349,Mallon Timothy,"     29.11,7 "
350,Vanin Philippe,"     29.07,2 "
351,Duruz Jonathan,"     29.10,4 "
352,Clerc Stephane,        ---- 
353,Veron Didier,"     29.14,4 "
354,Sharp Richard,"     29.13,4 "
355,Castella Vincent,"     29.14,8 "
356,Buffet Stanislas,"     29.12,4 "
357,Payot Thomas,"     29.14,2 "
358,Uldry Jean-Daniel,"     29.18,2 "
359,Helbling Serge,"     29.16,9 "
360,Hofer Thierry,"     29.17,7 "
361,Spectroman Isidore,"     29.15,0 "
362,Nicolet Samuel,"     29.22,0 "
363,Perrier Bruno,"     29.20,7 "
364,Allaman Christophe,        ---- 
365,Webb Christian,"     29.24,7 "
366,Godot Florian,"     29.29,5 "
367,Aecherli Yves,"     29.23,1 "
368,Vaucher Gregory,"     29.28,3 "
369,Luisier Robin,"     29.30,0 "
370,Chollet Laurent,"     29.26,0 "
371,Bermond Pierre,        ---- 
372,Buttet Robert,"     29.28,3 "
373,Doninelli Sandro,"     29.35,5 "
374,Bosson Ulrick,"     29.31,3 "
375,Kirkman Percy,"     29.30,0 "
376,Wehrle-Haller Bernhard,"     29.29,6 "
377,Krattinger Michael,"     29.31,8 "
378,Giddey Olivier,"     29.33,5 "
379,Pellaux Alexandre,        ---- 
380,Campos Emanuel,"     29.32,0 "
381,Berset Stephane,"     29.39,0 "
382,Miller John,"     29.38,1 "
383,Schaffner Michel,"     29.37,7 "
384,Doux Simon,"     29.43,4 "
385,Ferrai Alberto,"     29.43,4 "
386,Pellaux Denis,"     29.45,8 "
387,Pearson Chris,"     29.43,4 "
388,Fischer Marc,"     29.45,1 "
389,Aeschimann Nicolas,"     29.42,3 "
390,Figueiredo Cristovao,"     29.40,2 "
391,Andres Hugo,"     29.39,6 "
392,Freyburger Pascal,"     29.46,4 "
393,Gruffat Christian,"     29.47,2 "
394,Suter David,"     29.44,0 "
395,De Pascali Fernando,"     29.50,5 "
396,Rickli Eric,"     29.51,5 "
397,Bonazzi Nicolas,"     29.47,4 "
398,Stanning Michael,"     29.49,2 "
399,Villard Jean,"     29.49,7 "
400,Bonnaz Christophe,"     29.50,0 "
401,Tuerler Marc,"     29.51,0 "
402,Lamard David,"     29.49,2 "
403,Mareau Pascal,"     29.50,3 "
404,Nicolier Philippe,"     29.49,9 "
405,Folly Olivier,"     29.55,0 "
406,Prevel Michel,"     29.53,6 "
407,Nicolet Julien,"     29.52,0 "
408,Meier Mateo,"     29.53,6 "
409,Decurnex Christian,"     29.54,3 "
410,Lockhart Nicolas,"     29.52,3 "
411,Morisset Nicolas,"     29.57,4 "
412,Verholen Frank,"     29.53,9 "
413,Lejeune Alain,"     29.56,2 "
414,Serena Franco,"     29.51,9 "
415,Favre Thierry,"     30.04,0 "
416,Scardino Fabrizio,"     29.55,8 "
417,Hanke Klaus,"     30.04,7 "
418,Rey-Millet Pierre,"     30.01,1 "
419,De Becquincourt Gontran,"     29.58,9 "
420,Micheli Jerome,"     29.58,3 "
421,Clausen Christoph,"     29.59,2 "
422,Mirkovic Radovan,"     30.10,4 "
423,Le Floch Thierry,"     30.07,9 "
424,Martin Bruno,"     30.09,2 "
425,Schmid Christophe,"     30.05,3 "
426,Corset Laurent,"     30.04,5 "
427,Viry Gil,"     30.08,3 "
428,Maring Philippe,"     30.12,9 "
429,Liechti Yves,"     30.14,7 "
430,Simonin Bernard,"     30.16,4 "
431,Ferrari Luca,"     30.11,6 "
432,Saudan Guy,"     30.17,6 "
433,Fontaine Yoland,"     30.16,2 "
434,Stoeri Christophe,        ---- 
435,Torquemada Antonio,"     30.15,1 "
436,Blanc Sebastien,"     30.13,3 "
437,Etienne Gregoire,"     30.17,1 "
438,Baumgartner Thomas,"     30.13,1 "
439,Bigouret Jean-Marc,"     30.17,4 "
440,Morel Willy,"     30.22,8 "
441,Emery Reto,"     30.16,4 "
442,Ruche Christophe,"     30.18,8 "
443,Widmer Andreas,"     30.20,5 "
444,Metrailler Bernard,"     30.20,0 "
445,Sprungli Olivier,"     30.17,1 "
446,Grand Didier,        ---- 
447,Gex Valery,"     30.18,2 "
448,Baeriswyl Dominik,"     30.23,2 "
449,Campolini Christophe,"     30.27,7 "
450,Corthay Marc,"     30.21,5 "
451,Schulz Markus,"     30.25,7 "
452,Canaverde Francisco,"     30.16,2 "
453,Niemetz Jerome,"     30.29,8 "
454,Ruedin Philippe,"     30.26,0 "
455,Lapierre Stephane,"     30.27,6 "
456,Bettens Philippe,"     30.26,1 "
457,Mauron Yvan,"     30.33,4 "
458,Bryden Alan,"     30.32,6 "
459,Joerg Philippe,"     30.32,8 "
460,Fleury Nicolas,"     30.32,6 "
461,Feller Richard,"     30.39,6 "
462,Glaettli Oliver,"     30.35,8 "
463,Kuehn Gilles,"     30.34,0 "
464,El Jadir Abdel Fatah,"     30.44,0 "
465,Jorgensen Kristian,"     30.36,8 "
466,Blanc Olivier,"     30.41,9 "
467,Voce Maxime,"     30.43,3 "
468,Verges Pierre,        ---- 
469,Steffen Jean,"     30.48,7 "
470,Chaves Joao,"     30.57,6 "
471,Ciucur Adrian,"     30.58,6 "
472,Garcia Tinoco Guillermo,"     30.54,1 "
473,Perritaz Joel,"     30.56,4 "
474,Weber Sylvain,"     30.55,2 "
475,Gillet Yves,"     30.58,4 "
476,Paris Philippe,"     30.51,1 "
477,Luebbe Jann,"     31.06,9 "
478,Donada Massimo,"     31.02,5 "
479,Macedo Silva Alfredo,        ---- 
480,Chouteau Christophe,"     31.02,4 "
481,Bovard Roland,"     31.07,1 "
482,Pazzini Roni,"     31.08,5 "
483,Pricam Dominique,"     31.10,2 "
484,Usmani Imam,"     31.06,2 "
485,Lioud Benoit,"     31.05,9 "
486,Carpin Laurent,"     31.12,7 "
487,Giauque Philippe,"     31.08,9 "
488,Giauque Cedric,"     31.07,8 "
489,Schuetz Jean-Paul,"     31.10,6 "
490,Cherfi Ahmed,"     31.15,3 "
491,Guex Jonas,"     31.15,6 "
492,Gregory Neil,"     31.20,7 "
493,Lopez David,"     30.56,6 "
494,Modoux Robin,"     31.27,7 "
495,Hottelier Jean-Jacques,"     31.29,1 "
496,Testaz Jean-Yves,"     31.25,2 "
497,Da Silva Marco,"     31.32,9 "
498,Fullard Steve,"     31.35,7 "
499,Raggi Sylvain,"     31.35,4 "
500,Rebetez Daniel,"     31.33,2 "
501,Kopp Jean-Marc,"     31.36,5 "
502,Cornes Olivier,"     31.24,9 "
503,Schafeitel Pascal,        ---- 
504,Thurnherr Pascal,"     31.54,1 "
505,Gentilhomme Damien,"     31.59,9 "
506,Dupont Didier,"     32.05,7 "
507,Grawer Gregor,"     32.07,7 "
508,Cadilhac Laurent,"     32.10,7 "
509,Maigre Didier,"     32.21,8 "
510,Balsiger Olivier,"     32.20,0 "
511,Amato Domenico,"     32.19,2 "
512,Koller Charles,"     32.24,7 "
513,Henckaerts Jean-Marie,"     32.40,4 "
514,Bifrare Frederic,"     32.46,4 "
515,Leopoldoff Marc,"     32.43,9 "
516,Riedo Alphonse,"     32.45,3 "
517,Derinck Jean Romain,"     32.59,8 "
518,Pittet Nicolas,"     33.00,1 "
519,Archbold Scott,"     33.00,3 "
520,Butterworth Andrew,"     33.06,6 "
521,Habedus Pejic Vanja,"     33.10,6 "
