,1ère boucle,2ème boucle,3ème boucle,nom,temps net
129,"      8.21,8 ","     8.51,3 ","     8.32,9 ",Varé Lionel,"    25.32,0 "
130,"      8.31,5 ","     8.52,1 ","     8.26,2 ",Bastardoz Nicolas,"    25.35,3 "
131,"      8.27,7 ","     8.50,5 ","     8.32,8 ",Villeton-Pachot Patrick,"    25.38,8 "
132,"      8.27,0 ","     8.50,4 ","     8.35,1 ",Doebert Steffen,"    25.40,8 "
133,"      8.16,3 ","     9.00,4 ","     8.36,5 ",Clément Mathieu,"    25.43,7 "
134,"      8.28,1 ","     8.55,7 ","     8.30,1 ",Schnyder Yann,"    25.42,9 "
135,"      8.14,6 ","     9.05,3 ","     8.34,9 ",Pouzargue Nicolas,"    25.46,4 "
136,"      8.07,7 ","     8.55,3 ","     8.52,9 ",Fischer Philipp,"    25.45,8 "
137,"      8.15,2 ","     8.56,9 ","     8.44,5 ",Antoine Régis,"    25.46,6 "
138,"      8.16,4 ","     9.05,6 ","     8.36,0 ",Valentino Aurelio,"    25.46,3 "
139,"      8.19,4 ","     8.59,2 ","     8.40,1 ",Riser Vincent,"    25.48,8 "
140,"      8.30,3 ","     8.54,7 ","     8.34,4 ",Marchand Jerome,"    25.49,6 "
141,"      8.19,8 ","     9.00,5 ","     8.40,5 ",Piccand Marc,"    25.53,0 "
142,"      8.18,3 ","     9.02,0 ","     8.41,6 ",Perrin Nicolas,"    25.54,1 "
143,"      8.29,9 ","     8.58,0 ","     8.37,7 ",Tireford Sylvain,"    25.56,8 "
144,"      8.21,3 ","     9.02,0 ","     8.43,3 ",Kleiner Nathaniel,"    25.58,3 "
145,"      8.21,3 ","     9.02,9 ","     8.43,0 ",Rey Nicolas,"    25.58,6 "
146,"      8.08,6 ","     9.04,2 ","     8.54,5 ",Besse Jean-Claude,"    25.58,8 "
147,"      8.28,8 ","     8.57,3 ","     8.42,2 ",Lugrin Thomas,"    25.54,5 "
148,"      8.32,5 ","     9.00,5 ","     8.36,5 ",Bronstein Dan,"    26.00,1 "
149,"      8.39,6 ","     9.04,1 ","     8.25,8 ",Terbois David,"    25.59,6 "
150,"      8.29,0 ","     9.07,9 ","     8.32,9 ",Calame Nicolas,"    26.00,4 "
151,"      8.25,3 ","     9.07,3 ","     8.38,9 ",Khlebnikov Philipp,"    26.02,1 "
152,"      8.29,3 ","     9.03,2 ","     8.39,3 ",Le Gall Eric,"    26.00,0 "
153,"      8.31,7 ","     9.01,7 ","     8.39,2 ",Wolf Fabien,"    26.00,4 "
154,"      8.30,7 ","     9.04,7 ","     8.37,5 ",Laporte Christophe,"    26.03,1 "
155,"      8.24,0 ","     9.06,7 ","     8.44,8 ",Porte Luc,"    26.05,7 "
156,"      8.05,9 ","     9.19,4 ","     8.50,4 ",Roblot Pierre,"    26.06,5 "
157,"      8.20,1 ","     9.06,3 ","     8.51,1 ",Mitaut Etienne,"    26.09,6 "
158,"      8.52,1 ","     8.58,3 ","     8.27,8 ",Eggenschwiler Florent,"    26.05,5 "
159,"      8.23,7 ","     9.06,1 ","     8.48,7 ",Pilloud Léonard,"    26.09,3 "
160,"      8.33,6 ","     9.12,4 ","     8.34,8 ",Deschamps Paul,"    26.08,5 "
161,"      8.30,7 ","     9.11,1 ","     8.40,0 ",Decurninge Xavier,"    26.12,6 "
162,"      8.35,3 ","     9.06,8 ","     8.42,2 ",Da Rocha Nicolas,"    26.10,3 "
163,"      8.33,0 ","     9.09,7 ","     8.42,0 ",Blanc Fabien,"    26.13,2 "
164,"      8.29,7 ","     9.07,0 ","     8.48,9 ",Overney Thierry,"    26.16,0 "
165,"      8.22,3 ","     9.15,3 ","     8.49,9 ",Richters Sven,"    26.18,1 "
166,"      8.33,6 ","     9.12,4 ","     8.42,1 ",Martin Romain,"    26.15,5 "
167,"      8.53,6 ","     8.59,8 ","     8.35,7 ",Schindl David,"    26.16,2 "
168,"      8.39,3 ","     9.07,6 ","     8.42,7 ",Bolger John,"    26.17,9 "
169,"      8.19,7 ","     9.11,2 ","     8.59,9 ",Papillon Grégory,"    26.22,2 "
170,"      8.12,5 ","     9.17,5 ","     9.03,5 ",Kostro Thomas,"    26.25,5 "
171,"      8.26,4 ","     9.09,7 ","     8.59,7 ",Grandjanny Damien,"    26.26,1 "
172,"      8.50,1 ","     9.03,9 ","     8.42,9 ",Althey Charles,"    26.28,1 "
