,nom,temps net
504,Perritaz Joel,"29.33,0"
505,Ricard Christophe,"29.37,4"
506,Luebbe Jann,"29.39,0"
507,Calame Daniel,"29.40,3"
508,Slettenhaar Erik Jan,"29.33,3"
509,Mauron Yvan,"29.37,1"
510,Vazquez Marcel,"29.35,8"
511,Baichi Mehdi,"29.43,5"
512,Glaettli Oliver,"29.41,0"
513,Kopp Jean-Marc,"29.35,0"
514,Moschberger Kevin,"29.37,8"
515,Sudan Dominique,"29.37,1"
516,Bellotto Pierre,"29.41,5"
517,Butterworth Andy,"29.41,6"
518,Paris Philippe,"29.37,3"
519,Romano Roberto,"29.38,7"
520,Bonnaz Christophe,"29.44,7"
521,Lenoble Jean-Claude,----
522,Maitre Alain,"29.44,1"
523,Halfen Jean-Marie,"29.46,0"
524,Pilet Francois,"29.44,2"
525,Descoeudres Antoine,"29.45,0"
526,Gauxachs Jose,"29.43,4"
527,Mozet Michel,"29.39,6"
528,Nogarede Marc,"29.41,5"
529,Buffat Patrice,"29.45,2"
530,Fleury Nicolas,"29.45,5"
531,Lamard David,"29.46,8"
532,Diserens Nicolas,"29.48,9"
533,Sims Jacob,"29.46,4"
534,Ruedin Philippe,"29.47,7"
535,Bryden Alan,"29.51,2"
536,Excoffier Laurent,"29.52,0"
537,Bulliard Nicolas,"29.58,6"
538,Prevel Michel,"29.56,1"
539,Vez Jean-Daniel,"29.53,1"
540,Rebetez Daniel,"29.55,1"
541,Bourquin Luc,"30.06,8"
542,Perruisset Lionel,"30.09,8"
543,Scharwath Sven,"30.06,7"
544,Falter Jean-Marc,"30.01,7"
545,Chiavaroli Carlo,"30.03,5"
546,Harden Bernd,"30.05,6"
547,Bosson Ulrick,"30.05,5"
548,Altwegg Eric,"30.09,9"
549,Bosson Pierre,"30.07,6"
550,Fort Pierre-Andre,"30.08,9"
551,Bifrare Frederic,"30.15,4"
552,Menghetti Raphael,"30.17,3"
553,Stutz Andre,"30.17,2"
554,Lehner Michael,"30.10,9"
555,Le Roy Andre,"30.23,1"
556,Peel Greg,"30.21,5"
557,Beysard Paul-Alain,"30.31,2"
558,Lejeune Alain,"30.25,6"
559,Roduit Pascal,"30.28,5"
560,Giacometti Sebastien,"30.38,0"
561,Kopp Benoit,"30.31,1"
562,Bijasson Nicolas,"30.33,7"
563,Courrier Sylvain,"30.34,8"
564,Favre Daniel,"30.33,0"
565,Grawer Gregor,"30.35,6"
566,Villard Patrick,"30.37,4"
567,Guignard Philippe,"30.38,3"
568,Duhoux Hubert,"30.46,8"
569,Thevoz Sylvain,"30.43,0"
570,Angeloz Henri,"30.41,5"
571,Angulo Salomon,"30.41,3"
572,Murzilli Patrice,"30.48,9"
573,Schumacher Stefan,"30.45,0"
574,Umbehr Marc,"30.50,7"
575,Vacheron Thierry,"31.00,7"
576,Giannini Raphael,"31.20,0"
577,Bessie Eric,"31.22,7"
578,Dreher Don,"31.34,2"
579,Conde Antonio,"31.39,7"
580,Chatelain Philippe,"31.36,3"
581,Gigandet Sylvain,"31.39,9"
582,Mandallaz Henri,"31.47,5"
583,Buhler Andre,"31.43,2"
584,Baichi Malik,"31.49,5"
585,Pasquier Laurent,"31.43,6"
586,Leitner Erwin,"31.51,2"
587,Besnard Willy,"32.01,5"
588,Mathelier Guillaume,"32.12,5"
589,Landenbergue Michel,"32.22,8"
590,Leopoldoff Marc,"32.32,2"
591,Georgel Cedric,"32.37,5"
592,Cyvoct Philippe,"32.49,6"
593,Canellini Patrick,"33.28,6"
594,Miguet Damien,"33.56,9"
595,Thoerig Patrick,----
596,Bulti Melkamu,"34.57,9"
597,Bolzer Pascal,"36.12,2"
598,Scheuner Pierre,"36.40,9"
599,Duruz Nicolas,"41.37,8"
600,Duruz Nicolas,
