"Strassenfahrzeugbestand: Personenwagen ab 1990"

"Kanton";"Treibstoff";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Appenzell Innerrhoden";"Benzin";5063;5323;5378;5515;5515;5598;5197;5864;5909;6073;6188;6327;6383;6425;6481;6552;6502;6553;6505;6782;6675;6691;6613;6544;6493;6569
"Appenzell Innerrhoden";"Diesel";170;178;186;196;213;205;197;217;227;240;273;351;454;550;672;797;917;1078;1215;1445;1591;1800;2003;2218;2408;2603
"Appenzell Innerrhoden";"Elektrisch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;10;19
"Appenzell Innerrhoden";"Andere";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;11;16;20;27;37;40;40;55
"St. Gallen";"Benzin";161827;165905;168521;170355;174173;178567;181918;183781;187406;191704;195432;198894;201905;202548;203176;201316;202082;200321;197550;197983;200110;200656;199548;197145;194309;190937
"St. Gallen";"Diesel";4127;4220;4314;4403;4691;4980;5321;5597;6009;6692;7785;9684;12335;15520;19083;22551;26431;30409;34142;39290;44482;50439;57933;65224;71484;77640
"St. Gallen";"Elektrisch";30;38;43;42;44;38;37;40;37;35;36;27;22;23;21;18;18;15;13;7;11;30;66;113;201;366
"St. Gallen";"Andere";5;5;3;7;6;4;1;0;3;5;7;13;9;12;37;162;206;522;932;1193;1472;1713;2034;2378;2743;3124
"Graubünden / Grigioni / Grischun";"Benzin";70893;72766;74122;75299;76965;78584;79649;79523;80098;81218;81546;81691;81650;81184;80505;80150;79996;79434;79100;79475;76567;75969;74877;73114;71932;70619
"Graubünden / Grigioni / Grischun";"Diesel";2287;2372;2462;2553;2698;2812;2900;3069;3327;3669;4272;5223;6553;8298;10258;12003;14070;16182;18539;21239;23213;25962;29176;32316;35039;37769
"Graubünden / Grigioni / Grischun";"Elektrisch";7;6;8;15;16;13;14;14;12;13;10;9;7;6;3;3;3;2;3;3;3;12;24;40;79;143
