,1ère boucle,2ème boucle,3ème boucle,nom,temps net
89,"     8.02,0 ","     9.03,6 ","     8.38,9 ",Gantenbein Julien,"     25.39,9 "
90,"     8.22,5 ","     8.53,1 ","     8.33,4 ",Lagger Grégoire,"     25.44,2 "
91,"     8.26,4 ","     8.56,0 ","     8.28,7 ",Gillieron Christophe,"     25.47,0 "
92,"     8.24,1 ","     8.53,2 ","     8.35,1 ",Lavergne Sylvain,"     25.43,2 "
93,"     8.20,1 ","     8.58,0 ","     8.35,7 ",Bijas Patrick,"     25.48,7 "
94,"     8.20,9 ","     8.51,2 ","     8.43,2 ",Kremmer François,"     25.50,6 "
95,"     8.20,7 ","     8.53,6 ","     8.41,5 ",Le Guellec Ludovic,"     25.50,3 "
96,"     8.20,7 ","     8.51,8 ","     8.43,8 ",Boillon Bénédict,"     25.51,0 "
97,"     8.10,1 ","     8.58,8 ","     8.48,5 ",Hammon Charlie,"     25.50,9 "
98,"     7.39,3 ","     9.06,0 ","     9.12,8 ",Fridelance Valentin,"     25.53,4 "
99,"     8.15,4 ","     8.51,5 ","     8.51,5 ",Zbinden Martin,"     25.51,1 "
100,"     8.24,4 ","     8.57,3 ","     8.37,3 ",Gonzalez Sebastien,"     25.54,1 "
101,"     8.23,3 ","     8.54,3 ","     8.42,0 ",Doninelli Danilo,"     25.54,8 "
102,"     8.34,9 ","     8.55,7 ","     8.29,8 ",Sallin Dimitri,"     25.54,2 "
103,"     8.14,2 ","     9.01,6 ","     8.47,4 ",Luthy Benoît,"     25.58,6 "
104,"     8.28,6 ","     8.55,6 ","     8.39,8 ",Calame Nicolas,"     25.58,3 "
105,"     8.36,2 ","     8.56,3 ","     8.33,4 ",Bosset Jérôme,"     25.58,3 "
106,"     8.25,7 ","     8.59,6 ","     8.43,4 ",Bourcey Nicolas,"     26.03,3 "
107,"     8.22,6 ","     8.56,2 ","     8.50,5 ",Sass Alexander,"     26.02,5 "
108,"     8.38,6 ","     8.54,5 ","     8.37,0 ",Halden Jonathan,"     26.03,5 "
109,"     8.23,5 ","     9.01,1 ","     8.47,0 ",Dunand Jean-Marc,"     26.05,0 "
110,"     8.19,2 ","     8.58,7 ","     8.55,6 ",Gonthier Philippe,"     26.08,4 "
111,"     8.16,1 ","     9.06,8 ","     8.52,3 ",Gousman Weideren,"     26.10,6 "
112,"     8.42,0 ","     9.03,4 ","     8.31,9 ",Gaudenzi Julien,"     26.08,6 "
113,"     8.21,3 ","     9.06,7 ","     8.51,8 ",Perrin Nicolas,"     26.13,9 "
114,"     8.25,5 ","     9.06,0 ","     8.48,7 ",Fischer Philipp,"     26.11,0 "
115,"     8.27,4 ","     9.05,8 ","     8.49,3 ",Ferrer Gustavo,"     26.14,1 "
116,"     8.28,4 ","     9.01,5 ","     8.55,6 ",Rottigni Robert,"     26.18,4 "
117,"     8.21,9 ","     9.14,9 ","     8.49,3 ",Vuagnoux Bruno,"     26.20,8 "
118,"     8.44,9 ","     8.56,5 ","     8.46,4 ",Daerendinger Claude,"     26.16,9 "
119,"     8.31,7 ","     9.04,2 ","     8.52,3 ",Perez Raoul,"     26.20,9 "
120,"     8.53,8 ","     9.00,2 ","     8.36,5 ",Jagdeep Steve,"     26.20,6 "
121,"     8.41,5 ","     9.04,1 ","     8.45,3 ",Bize Nicolas,"     26.20,9 "
122,"     9.01,4 ","     9.06,2 ","     8.23,6 ",Meier Joel,"     26.25,0 "
123,"     8.46,1 ","     9.03,8 ","     8.42,1 ",Yu David,"     26.19,9 "
124,"     8.42,7 ","     9.10,9 ","     8.40,2 ",Rodriguez Florian,"     26.27,4 "
125,"     8.32,1 ","     9.06,9 ","     8.56,1 ",Hug Sébastien,"     26.26,2 "
126,"     8.24,1 ","     9.08,8 ","     9.02,6 ",Marquet Xavier,"     26.28,9 "
127,"     8.35,7 ","     9.09,3 ","     8.51,3 ",Laporte Christophe,"     26.29,9 "
128,"     8.35,3 ","     9.09,6 ","     8.55,0 ",Occhilupo Sandro,"     26.33,9 "
129,"     8.20,0 ","     9.05,6 ","     9.17,3 ",Grandjanny Damien,"     26.37,5 "
130,"     8.55,5 ","     9.03,2 ","     8.46,2 ",Dorsaz Stéphane,"     26.37,2 "
131,"     8.46,6 ","     9.08,4 ","     8.50,8 ",Salaun Bastien,"     26.35,3 "
132,"     9.12,0 ","     8.56,4 ","     8.37,7 ",Risbec Florian,"     26.36,2 "
133,"     8.38,0 ","     9.11,0 ","     8.57,2 ",Rouleau Thierry,"     26.36,6 "
134,"     8.32,3 ","     9.22,3 ","     8.52,8 ",March Stephen,"     26.42,1 "
135,"     8.26,6 ","     9.18,4 ","     9.04,3 ",Fantoli Regis,"     26.43,2 "
136,"     8.35,6 ","     9.19,8 ","     8.54,9 ",Frauenfelder Raoul,"     26.44,5 "
137,"     8.30,2 ","     9.15,2 ","     9.05,7 ",Gattone Sylvain,"     26.45,5 "
138,"     8.10,6 ","     9.28,1 ","     9.12,5 ",Gaudiosi Roberto,"     26.44,9 "
139,"     8.39,9 ","     9.12,0 ","     9.00,2 ",Mathieu Didier,"     26.45,0 "
140,"     8.21,3 ","     9.17,7 ","     9.13,3 ",Giroud Philippe,"     26.44,4 "
141,"     8.50,8 ","     9.13,7 ","     8.48,1 ",Robert Christophe,"     26.44,1 "
142,"     8.33,9 ","     9.16,4 ","     9.03,2 ",Sanchez Galan Francisco,"     26.47,8 "
143,"     8.38,6 ","     9.18,2 ","     8.57,3 ",Rod Patrick,"     26.48,0 "
144,"     8.23,7 ","     9.24,6 ","     9.07,8 ",Delachenal Cédric,"     26.51,6 "
145,"     8.47,4 ","     9.14,0 ","     8.55,3 ",Barriere Olivier,"     26.50,8 "
146,"     8.25,5 ","     9.29,5 ","     9.04,0 ",Ait Mala Rachid,"     26.54,9 "
147,"     8.59,0 ","     9.10,7 ","     8.49,5 ",Sallet Alain,"     26.52,8 "
148,"     8.24,6 ","     9.28,9 ","     9.06,7 ",Pinto Ricardo,"     26.53,6 "
149,"     8.40,6 ","     9.21,2 ","     8.58,5 ",Fabre Jérôme,"     26.53,3 "
150,"     8.49,9 ","     9.18,3 ","     8.54,2 ",Broadley Michael,"     26.55,6 "
151,"     8.24,9 ","     9.22,8 ","     9.15,7 ",Bourriez David,"     26.57,7 "
152,"     8.31,5 ","     9.05,8 ","     9.28,0 ",Betrisey Mathias,"     26.57,7 "
153,"     8.47,4 ","     9.17,2 ","     9.02,3 ",Amoos Patrick,"     27.00,4 "
154,"     8.38,5 ","     9.25,2 ","     9.03,3 ",Pagliuca Mauro,"     26.58,7 "
155,"     8.54,1 ","     9.12,3 ","     9.02,0 ",Noël Xavier,"     27.02,4 "
156,"     8.53,5 ","     9.16,2 ","     8.59,6 ",Chatelus Sébastien,"     26.58,3 "
157,"     8.41,4 ","     9.21,8 ","     9.07,5 ",Aquino Tono Uoshington,"     27.04,5 "
158,"     8.32,7 ","     9.29,9 ","     9.09,2 ",Wilhelm Christophe,"     27.07,4 "
159,"     8.52,4 ","     9.19,5 ","     9.01,4 ",Fuss Jean-Patrick,"     27.07,4 "
160,"     8.45,6 ","     9.33,8 ","     8.55,6 ",Sutter Grégory,"     27.08,6 "
161,"     8.44,8 ","     9.24,4 ","     9.06,2 ",De Terwangne Didier,"     27.09,8 "
162,"     8.30,8 ","     9.23,3 ","     9.21,3 ",Rizzo Francesco,"     27.09,5 "
163,"     8.58,4 ","     9.16,9 ","     9.00,2 ",Wagner-Meige Udo,"     27.04,6 "
164,"     8.20,9 ","     9.37,3 ","     9.18,2 ",Gouin Jérôme,"     27.09,7 "
165,"     8.40,5 ","     9.24,4 ","     9.11,9 ",Quistini Olivier,"     27.11,3 "
166,"     8.49,8 ","     9.27,1 ","     9.02,7 ",Schaller Damien,"     27.10,6 "
167,"     8.38,1 ","     9.31,1 ","     9.10,8 ",Schnyder Yann,"     27.14,0 "
168,"     8.52,5 ","     9.25,5 ","     9.02,3 ",Glaus René,"     27.12,4 "
169,"     8.55,6 ","     9.17,8 ","     9.07,2 ",Chevrier Philippe,"     27.11,9 "
170,"     8.48,8 ","     9.22,4 ","     9.11,4 ",Levillain Cyril,"     27.13,9 "
171,"     9.01,4 ","     9.10,7 ","     9.12,2 ",Overney Thierry,"     27.18,4 "
172,"     8.37,4 ","     9.33,7 ","     9.14,5 ",Niedermaier Tilman,"     27.16,4 "
173,"     8.24,2 ","     9.47,7 ","     9.14,3 ",Barbe Maxime,"     27.21,8 "
174,"     9.05,2 ","     9.25,5 ","     8.57,2 ",Leblond Guillaume,"     27.19,2 "
175,"     8.48,1 ","     9.26,1 ","     9.15,3 ",Carloz Didier,"     27.22,3 "
176,"     8.59,0 ","     9.32,0 ","     8.59,7 ",Carré Cyril,"     27.22,8 "
177,"     8.46,1 ","     9.28,5 ","     9.16,9 ",Lyon Stéphane,"     27.26,0 "
178,"     8.59,4 ","     9.30,8 ","     9.02,3 ",Blanc Fabien,"     27.24,3 "
179,"     8.47,5 ","     9.36,1 ","     9.10,3 ",Denis Olivier,"     27.28,1 "
180,"     8.46,8 ","     9.42,1 ","     9.06,2 ",Lavanchy Christophe,"     27.30,0 "
181,"     8.38,5 ","     9.38,2 ","     9.18,9 ",Vesterinen Mika,"     27.30,6 "
182,"     8.37,0 ","     9.37,6 ","     9.22,6 ",Aboun Karim,"     27.28,6 "
183,"     9.07,8 ","     9.24,8 ","     9.04,9 ",Duplant Thierry,"     27.29,6 "
184,"     9.03,7 ","     9.29,5 ","     9.05,8 ",Budry Alexandre,"     27.28,4 "
185,"     8.45,9 ","     9.32,8 ","     9.21,9 ",Woznica Julien,"     27.33,7 "
186,"     9.01,5 ","     9.28,7 ","     9.11,3 ",Goux Philippe,"     27.34,5 "
187,"     8.43,3 ","     9.35,8 ","     9.26,1 ",Rondags Daniel,"     27.38,3 "
188,"     9.07,8 ","     9.36,8 ","     9.01,7 ",Bellet Laurent,"     27.35,8 "
