,nom,temps net
395,Baumgartner Thomas,"29.19,4"
396,Ferrai Alberto,"29.23,2"
397,Temler Christophe,"29.19,8"
398,Davet Jerome,"29.19,4"
399,Lehmann Daniel,"29.22,5"
400,Clarke Alistair,"29.22,7"
401,Grand Cyril,"29.28,4"
402,Hanke Klaus,----
403,Bonnaz Christophe,"29.32,0"
404,Schulz Markus,"29.30,6"
405,De Candolle Charles,"29.36,5"
406,Knopff Olivier,"29.29,1"
407,Thomsen Jeff,"29.34,9"
408,Zimmermann Laurent,"29.33,3"
409,Sofia Silvano,"29.34,2"
410,Liechti Yves,"29.34,4"
411,Di Lonardo David,"29.34,2"
412,Muller Roland,"29.31,0"
413,Webb Christian,"29.31,2"
414,Gourmet Emmanuel,"29.35,6"
415,Pasquier Jacques,"29.38,0"
416,Simonin Bernard,"29.37,5"
417,Govaerts Patrice,"29.35,7"
418,Dominguez Alfonso,"29.41,7"
419,Buttet Robert,"29.41,4"
420,Farre David,"29.42,3"
421,Pugin Yann,"29.38,3"
422,Morisset Nicolas,"29.38,7"
423,Grawer Gregor,"29.40,0"
424,Scuderi Antonino,"29.43,2"
425,Glaettli Oliver,"29.47,4"
426,Lovis Cedric,"29.41,5"
427,Sharp Richard,"29.42,4"
428,Saudan Guy,"29.47,2"
429,Blanc Sebastien,"29.39,7"
430,Garcia Tinoco Guillermo,"29.43,8"
431,Torquemada Antonio,"29.48,6"
432,Amoos Roger,"29.44,6"
433,Voce Maxime,"29.49,2"
434,Hofer Thierry,"29.49,2"
435,Audisio David,"29.51,8"
436,Gillet Yves,"29.56,4"
437,Comte Mikael,"29.54,5"
438,Villard Jean,"29.53,1"
439,Goodwin Tom,"29.50,4"
440,Nobel Marcel,"29.57,6"
441,Lapierre Stephane,"29.56,5"
442,Feller Richard,"29.57,6"
443,Viette Olivier,"29.52,7"
444,Donada Massimo,"29.56,1"
445,Canaverde Francisco,"29.55,0"
446,Raggi Sylvain,"29.55,5"
447,Schuetz Jean-Paul,"30.00,2"
448,Remolif Jean-Loup,"30.00,7"
449,Stidel Frederic,"29.58,5"
450,Gould Peter,"30.01,9"
451,Bovigny Patrick,"30.06,8"
452,Giddey Olivier,"30.05,0"
453,Gregory Neil,"30.04,5"
454,Pilet Adrien,"30.09,9"
455,Altamirano Marcos,"30.10,6"
456,Emery Reto,"30.10,2"
457,Courrier Sylvain,"30.14,4"
458,Martins Manuel,"30.18,6"
459,Bichsel Jerome,"30.13,3"
460,Renaud Sebastien,"30.20,8"
461,Bettens Philippe,"30.15,9"
462,Testaz Jean-Yves,"30.15,4"
463,Kopp Jean-Marc,"30.25,0"
464,Manas Guy,"30.22,9"
465,Bach Federico,"30.24,3"
466,Mueller Beat,"30.27,7"
467,Griffin Mark,"30.31,7"
468,Nogarede Marc,"30.28,6"
469,Thornber Titus,"30.35,0"
470,Galletto Paolo,"30.30,4"
471,Bovard Roland,"30.38,0"
472,Halfen Jean-Marie,"30.38,9"
473,De Saint Laumer Jean-Yves,"30.35,2"
474,Hottelier Jean-Jacques,"30.39,6"
475,Bieri Gilbert,"30.44,3"
476,Schafeitel Pascal,"30.41,0"
477,Lenoble Jean-Claude,"30.46,0"
478,Ricci Florian,"30.37,3"
479,Rebetez Daniel,"30.41,7"
480,Butterworth Andrew,"30.41,5"
481,Gasser Dieter,"30.43,4"
482,Juan Joseph,"30.48,1"
483,Delval Franck,"30.44,4"
484,Grandgirard Xavier,"30.49,6"
485,Morel Willy,"30.54,2"
