P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
Kepler-218 d,Neptunian,non-habitable,3.57,2.65,0.19,0.51,1.16,,,,0.7,124.52,,,Kepler-218,Cygnus,G,,1.06,5502,0.923813,,,3,0,0.733,1.741,,0,0
Kepler-219 b,Neptunian,non-habitable,4.98,2.95,0.19,0.57,1.3,1304.4,1304.4,1304.4,1,4.59,0.057,0.06,Kepler-219,Cygnus,G,1.18,1.49,5786,2.232422,,,3,0,1.121,2.64,0.21,0,0
Kepler-219 c,Neptunian,non-habitable,9.05,3.57,0.2,0.71,1.59,766.6,766.6,766.6,1.8,22.71,0.165,0.17,Kepler-219,Cygnus,G,1.16,1.49,5786,2.232422,,,3,0,1.121,2.64,0.2,0,0
Kepler-219 d,Neptunian,non-habitable,4.29,2.81,0.19,0.54,1.24,597.1,597.1,597.1,0.8,47.9,0.272,0.27,Kepler-219,Cygnus,G,1.17,1.49,5786,2.232422,,,3,0,1.121,2.64,0.26,0,0
Kepler-220 b,Subterran,non-habitable,0.43,0.81,0.82,0.66,0.73,779.5,779.5,779.5,0.4,4.16,0.046,0.05,Kepler-220,Cygnus,K,0.75,0.67,4632,0.185402,,,4,0,0.343,0.842,0.3,0,0
Kepler-220 c,Superterran,non-habitable,4.09,1.57,1.06,1.66,1.62,606.4,606.4,606.4,4.3,9.03,0.076,0.08,Kepler-220,Cygnus,K,0.72,0.67,4632,0.185402,,,4,0,0.343,0.842,0.32,0,0
Kepler-220 d,Terran,non-habitable,0.8,0.97,0.86,0.84,0.9,414.1,414.1,414.1,0.7,28.12,0.163,0.16,Kepler-220,Cygnus,K,0.73,0.67,4632,0.185402,,,4,0,0.343,0.842,0.47,0,0
Kepler-220 e,Terran,non-habitable,2.3,1.33,0.97,1.29,1.31,351.7,351.7,351.7,2.2,45.9,0.226,0.23,Kepler-220,Cygnus,K,0.73,0.67,4632,0.185402,,,4,0,0.343,0.842,0.59,0,0
Kepler-221 b,Superterran,non-habitable,5.68,1.71,1.13,1.93,1.82,1088.3,1088.3,1088.3,6.4,2.8,0.037,0.04,Kepler-221,Cygnus,K,0.72,0.82,5243,0.455866,,,4,0,0.522,1.251,0.27,0,0
Kepler-221 c,Neptunian,non-habitable,4.86,2.92,0.19,0.57,1.29,861.8,861.8,861.8,0.9,5.69,0.059,0.06,Kepler-221,Cygnus,K,0.72,0.82,5243,0.455866,,,4,0,0.522,1.251,0.22,0,0
Kepler-221 d,Neptunian,non-habitable,3.92,2.73,0.19,0.52,1.2,709.7,709.7,709.7,0.8,10.04,0.087,0.09,Kepler-221,Cygnus,K,0.72,0.82,5243,0.455866,,,4,0,0.522,1.251,0.24,0,0
Kepler-221 e,Neptunian,non-habitable,3.47,2.63,0.19,0.5,1.15,580.6,580.6,580.6,0.7,18.37,0.13,0.13,Kepler-221,Cygnus,K,0.72,0.82,5243,0.455866,,,4,0,0.522,1.251,0.27,0,0
Kepler-222 b,Neptunian,non-habitable,6.19,3.16,0.2,0.62,1.4,1019.9,1019.9,1019.9,1.2,3.94,0.048,0.05,Kepler-222,Lyra,G,0.95,0.87,5433,0.59168,,,3,0,0.589,1.402,0.21,0,0
Kepler-222 c,Neptunian,non-habitable,19.83,4.64,0.2,0.92,2.07,740.7,740.7,740.7,3.9,10.09,0.091,0.09,Kepler-222,Lyra,G,0.99,0.87,5433,0.59168,,,3,0,0.589,1.402,0.17,0,0
Kepler-222 d,Neptunian,non-habitable,9.94,3.68,0.2,0.73,1.64,526.7,526.7,526.7,2,28.08,0.18,0.18,Kepler-222,Lyra,G,0.99,0.87,5433,0.59168,,,3,0,0.589,1.402,0.25,0,0
Kepler-223 b,Superterran,non-habitable,5.4,1.69,1.12,1.89,1.79,960.7,960.7,960.7,6,7.38,0.073,0.07,Kepler-223,Cygnus,G,0.95,1.02,5829,1.077622,,,4,0,0.777,1.827,0.28,0,0
Kepler-223 c,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,875,875,875,13.1,9.85,0.088,0.09,Kepler-223,Cygnus,G,0.94,1.02,5829,1.077622,,,4,0,0.777,1.827,0.26,0,0
Kepler-223 d,Neptunian,non-habitable,5.16,2.98,0.19,0.58,1.32,762.1,762.1,762.1,1,14.79,0.116,0.12,Kepler-223,Cygnus,G,0.95,1.02,5829,1.077622,,,4,0,0.777,1.827,0.23,0,0
Kepler-223 e,Superterran,non-habitable,22.16,2.4,1.61,3.86,3.04,693.7,693.7,693.7,35.7,19.72,0.14,0.14,Kepler-223,Cygnus,G,0.94,1.02,5829,1.077622,,,4,0,0.777,1.827,0.26,0,0
Kepler-224 b,Terran,non-habitable,2.65,1.39,0.99,1.38,1.38,936,936,936,2.6,3.13,0.038,0.04,Kepler-224,Cygnus,K,0.74,0.68,5018,0.263045,,,4,0,0.401,0.97,0.29,0,0
Kepler-224 c,Neptunian,non-habitable,5.92,3.11,0.2,0.61,1.38,757.6,757.6,757.6,1.2,5.93,0.058,0.06,Kepler-224,Cygnus,K,0.74,0.68,5018,0.263045,,,4,0,0.401,0.97,0.22,0,0
Kepler-224 d,Superterran,non-habitable,18.31,2.3,1.51,3.47,2.82,611.6,611.6,611.6,27.7,11.35,0.089,0.09,Kepler-224,Cygnus,K,0.74,0.68,5018,0.263045,,,4,0,0.401,0.97,0.28,0,0
Kepler-224 e,Superterran,non-habitable,9.72,1.97,1.27,2.5,2.22,518.1,518.1,518.1,12.3,18.64,0.124,0.12,Kepler-224,Cygnus,K,0.74,0.68,5018,0.263045,,,4,0,0.401,0.97,0.33,0,0
Kepler-225 b,Terran,non-habitable,1.59,1.2,0.93,1.11,1.15,475.3,475.3,475.3,1.5,6.74,0.056,0.06,Kepler-225,Cygnus,M,0.52,0.48,3682,0.037993,,,2,0,0.159,0.409,0.4,0,0
Kepler-225 c,Superterran,non-habitable,7.38,1.84,1.19,2.19,2,337.6,337.6,337.6,8.8,18.79,0.111,0.11,Kepler-225,Cygnus,M,0.52,0.48,3682,0.037993,,,2,0,0.159,0.409,0.58,0,0
Kepler-226 b,Terran,non-habitable,3.88,1.55,1.05,1.63,1.59,1013.4,1013.4,1013.4,4.1,3.94,0.047,0.05,Kepler-226,Cygnus,G,0.86,0.8,5571,0.553098,,,3,0,0.565,1.339,0.28,0,0
Kepler-226 c,Superterran,non-habitable,17.55,2.27,1.49,3.39,2.78,912.3,912.3,912.3,26.2,5.35,0.058,0.06,Kepler-226,Cygnus,G,0.86,0.8,5571,0.553098,,,3,0,0.565,1.339,0.25,0,0
Kepler-226 d,Terran,non-habitable,1.7,1.22,0.93,1.14,1.18,797,797,797,1.6,8.11,0.076,0.08,Kepler-226,Cygnus,G,0.86,0.8,5571,0.553098,,,3,0,0.565,1.339,0.3,0,0
Kepler-227 b,Neptunian,non-habitable,5.85,3.1,0.2,0.61,1.37,898.3,898.3,898.3,1.1,9.49,0.09,0.09,Kepler-227,Cygnus,G,1.08,1.09,5854,1.251854,,,2,0,0.836,1.965,0.21,0,0
Kepler-227 c,Neptunian,non-habitable,5.46,3.04,0.2,0.59,1.34,500.4,500.4,500.4,1.1,54.42,0.29,0.29,Kepler-227,Cygnus,G,1.1,1.09,5854,1.251854,,,2,0,0.836,1.965,0.29,0,0
Kepler-228 b,Terran,non-habitable,3.69,1.52,1.04,1.59,1.56,1373.7,1373.7,1373.7,3.8,2.57,0.038,0.04,Kepler-228,Cygnus,F,1.11,1.01,6043,1.220515,,,3,0,0.816,1.91,0.28,0,0
Kepler-228 c,Neptunian,non-habitable,3.77,2.7,0.19,0.52,1.18,1174.3,1174.3,1174.3,0.7,4.13,0.052,0.05,Kepler-228,Cygnus,F,1.1,1.01,6043,1.220515,,,3,0,0.816,1.91,0.22,0,0
Kepler-228 d,Neptunian,non-habitable,13.05,4.03,0.2,0.8,1.8,842.6,842.6,842.6,2.6,11.09,0.101,0.1,Kepler-228,Cygnus,F,1.12,1.01,6043,1.220515,,,3,0,0.816,1.91,0.18,0,0
Kepler-229 b,Superterran,non-habitable,15.1,2.2,1.43,3.13,2.62,774.6,774.6,774.6,21.6,6.25,0.062,0.06,Kepler-229,Draco,K,0.81,0.73,5120,0.328561,,,3,0,0.446,1.074,0.26,0,0
Kepler-229 c,Neptunian,non-habitable,23.62,4.92,0.2,0.98,2.19,563.9,563.9,563.9,4.7,16.07,0.117,0.12,Kepler-229,Draco,K,0.83,0.73,5120,0.328561,,,3,0,0.446,1.074,0.2,0,0
Kepler-229 d,Neptunian,non-habitable,11.27,3.84,0.2,0.76,1.71,411.2,411.2,411.2,2.2,41.19,0.22,0.22,Kepler-229,Draco,K,0.84,0.73,5120,0.328561,,,3,0,0.446,1.074,0.33,0,0
Kepler-230 b,Neptunian,non-habitable,15.34,4.26,0.2,0.85,1.9,510.5,510.5,510.5,3.1,32.63,0.191,0.19,Kepler-230,Draco,G,0.87,0.82,5588,0.588225,,,2,0,0.582,1.379,0.24,0,0
Kepler-230 c,Superterran,non-habitable,11.12,2.04,1.31,2.68,2.34,361.9,361.9,361.9,14.6,91.77,0.38,0.38,Kepler-230,Draco,G,0.87,0.82,5588,0.588225,,,2,0,0.582,1.379,0.51,0,0
Kepler-231 b,Superterran,non-habitable,5.82,1.72,1.13,1.95,1.84,427.4,427.4,427.4,6.6,10.07,0.074,0.07,Kepler-231,Cygnus,M,0.58,0.49,3767,0.043378,,,2,0,0.17,0.435,0.42,0,0
Kepler-231 c,Superterran,non-habitable,8.88,1.93,1.24,2.39,2.15,344.4,344.4,344.4,11,19.27,0.114,0.11,Kepler-231,Cygnus,M,0.58,0.49,3767,0.043378,,,2,0,0.17,0.435,0.56,0,0
Kepler-232 b,Neptunian,non-habitable,5.72,3.08,0.2,0.6,1.36,1092.7,1092.7,1092.7,1.1,4.43,0.054,0.05,Kepler-232,Cygnus,G,1.07,0.97,5847,0.986656,,,2,0,0.742,1.746,0.21,0,0
Kepler-232 c,Neptunian,non-habitable,11.18,3.83,0.2,0.76,1.71,799,799,799,2.2,11.38,0.101,0.1,Kepler-232,Cygnus,G,1.06,0.97,5847,0.986656,,,2,0,0.742,1.746,0.19,0,0
Kepler-233 b,Superterran,non-habitable,23.62,2.43,1.65,4,3.12,742.5,742.5,742.5,38.9,8.47,0.077,0.08,Kepler-233,Cygnus,G,0.85,0.76,5360,0.427736,,,2,0,0.503,1.2,0.25,0,0
Kepler-233 c,Neptunian,non-habitable,3.82,2.71,0.19,0.52,1.19,384.6,384.6,384.6,0.7,60.42,0.287,0.29,Kepler-233,Cygnus,G,0.86,0.76,5360,0.427736,,,2,0,0.503,1.2,0.42,0,0
Kepler-234 b,Neptunian,non-habitable,10.03,3.7,0.2,0.73,1.65,1445.7,1445.7,1445.7,2,2.71,0.04,0.04,Kepler-234,Lyra,F,1.16,1.11,6224,1.658877,,,2,0,0.941,2.194,0.19,0,0
Kepler-234 c,Neptunian,non-habitable,8.54,3.51,0.2,0.69,1.56,1042,1042,1042,1.7,7.21,0.077,0.08,Kepler-234,Lyra,F,1.17,1.11,6224,1.658877,,,2,0,0.941,2.194,0.2,0,0
Kepler-235 b,Superterran,non-habitable,16.11,2.23,1.45,3.24,2.69,723.3,723.3,723.3,23.4,3.34,0.037,0.04,Kepler-235,Lyra,K,0.59,0.55,4255,0.088964,,,4,0,0.24,0.601,0.26,0,0
Kepler-235 c,Terran,non-habitable,1.98,1.28,0.95,1.21,1.25,545.7,545.7,545.7,1.9,7.82,0.065,0.07,Kepler-235,Lyra,K,0.59,0.55,4255,0.088964,,,4,0,0.24,0.601,0.35,0,0
Kepler-235 d,Superterran,non-habitable,11.37,2.05,1.32,2.71,2.36,398.4,398.4,398.4,15,20.06,0.122,0.12,Kepler-235,Lyra,K,0.59,0.55,4255,0.088964,,,4,0,0.24,0.601,0.44,0,0
Kepler-235 e,Superterran,non-habitable,15.76,2.22,1.45,3.21,2.67,301.5,301.5,301.5,22.8,46.18,0.213,0.21,Kepler-235,Lyra,K,0.59,0.55,4255,0.088964,,,4,0,0.24,0.601,0.65,0,0
Kepler-236 b,Superterran,non-habitable,4.09,1.57,1.06,1.66,1.62,463.2,463.2,463.2,4.3,8.3,0.065,0.07,Kepler-236,Lyra,M,0.56,0.51,3750,0.046148,,,2,0,0.175,0.449,0.39,0,0
Kepler-236 c,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,325,325,325,13.1,23.97,0.132,0.13,Kepler-236,Lyra,M,0.56,0.51,3750,0.046148,,,2,0,0.175,0.449,0.6,0,0
Kepler-237 b,Terran,non-habitable,2.81,1.41,1,1.41,1.41,813.3,813.3,813.3,2.8,4.72,0.05,0.05,Kepler-237,Lyra,K,0.7,0.72,4861,0.259691,,,2,0,0.402,0.977,0.3,0,0
Kepler-237 c,Superterran,non-habitable,12.15,2.08,1.34,2.8,2.41,682.5,682.5,682.5,16.3,8.1,0.071,0.07,Kepler-237,Lyra,K,0.7,0.72,4861,0.259691,,,2,0,0.402,0.977,0.28,0,0
Kepler-238 b,Superterran,non-habitable,5.82,1.72,1.13,1.95,1.84,1273.6,1273.6,1273.6,6.6,2.09,0.034,0.03,Kepler-238,Lyra,G,1.43,0.9,5614,0.721879,,,5,0,0.644,1.524,0.27,0,0
Kepler-238 c,Superterran,non-habitable,21.7,2.39,1.6,3.81,3.02,894,894,894,34.7,6.16,0.069,0.07,Kepler-238,Lyra,G,1.43,0.9,5614,0.721879,,,5,0,0.644,1.524,0.24,0,0
Kepler-238 d,Neptunian,non-habitable,5.66,3.07,0.2,0.6,1.36,692.5,692.5,692.5,1.1,13.23,0.115,0.12,Kepler-238,Lyra,G,1.43,0.9,5614,0.721879,,,5,0,0.644,1.524,0.23,0,0
Kepler-238 e,Neptunian,non-habitable,199.03,5.61,1.13,6.32,5.96,551,551,551,224.2,23.65,0.1816,0.18,Kepler-238,Lyra,G,1.43,0.9,5614,0.721879,,,5,0,0.644,1.524,0.19,0,0
Kepler-238 f,Superterran,non-habitable,17.8,2,2.21,4.43,2.98,428.1,428.1,428.1,39.3,50.45,0.301,0.3,Kepler-238,Lyra,G,1.43,0.9,5614,0.721879,,,5,0,0.644,1.524,0.4,0,0
Kepler-239 b,Superterran,non-habitable,19.52,2.33,1.54,3.6,2.89,612.8,612.8,612.8,30.1,11.76,0.095,0.1,Kepler-239,Cygnus,K,0.74,0.76,4914,0.302174,,,2,0,0.432,1.049,0.28,0,0
Kepler-239 c,Superterran,non-habitable,2.97,2.51,0.19,0.47,1.09,364.9,364.9,364.9,0.6,56.23,0.268,0.27,Kepler-239,Cygnus,K,0.74,0.76,4914,0.302174,,,2,0,0.432,1.049,0.47,0,0
Kepler-240 b,Terran,non-habitable,2.51,1.37,0.98,1.34,1.35,863,863,863,2.5,4.14,0.048,0.05,Kepler-240,Lyra,K,0.86,0.74,4985,0.303399,,,2,0,0.432,1.044,0.29,0,0
Kepler-240 c,Superterran,non-habitable,15.1,2.2,1.43,3.13,2.62,695.1,695.1,695.1,21.6,7.95,0.074,0.07,Kepler-240,Lyra,K,0.86,0.74,4985,0.303399,,,2,0,0.432,1.044,0.27,0,0
Kepler-241 b,Superterran,non-habitable,19.52,2.33,1.54,3.6,2.89,553.2,553.2,553.2,30.1,12.72,0.094,0.09,Kepler-241,Cygnus,K,0.69,0.67,4699,0.196364,,,2,0,0.352,0.861,0.29,0,0
Kepler-241 c,Neptunian,non-habitable,3.19,2.56,0.19,0.49,1.12,390.1,390.1,390.1,0.6,36.07,0.189,0.19,Kepler-241,Cygnus,K,0.69,0.67,4699,0.196364,,,2,0,0.352,0.861,0.42,0,0
Kepler-242 b,Neptunian,non-habitable,3.38,2.61,0.19,0.5,1.14,745.2,745.2,745.2,0.6,8.2,0.075,0.07,Kepler-242,Lyra,K,0.84,0.85,5020,0.411664,,,2,0,0.502,1.213,0.24,0,0
Kepler-242 c,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,618.1,618.1,618.1,13.1,14.5,0.109,0.11,Kepler-242,Lyra,K,0.82,0.85,5020,0.411664,,,2,0,0.502,1.213,0.29,0,0
Kepler-243 b,Superterran,non-habitable,24.64,2.45,1.67,4.09,3.17,848.5,848.5,848.5,41.1,5.72,0.062,0.06,Kepler-243,Lyra,K,0.89,0.84,5228,0.472923,,,2,0,0.533,1.276,0.24,0,0
Kepler-243 c,Superterran,non-habitable,10.17,1.99,1.28,2.56,2.26,560.7,560.7,560.7,13.1,20.03,0.142,0.14,Kepler-243,Lyra,K,0.89,0.84,5228,0.472923,,,2,0,0.533,1.276,0.31,0,0
Kepler-244 b,Neptunian,non-habitable,4.02,2.76,0.19,0.53,1.21,979.6,979.6,979.6,0.8,4.31,0.05,0.05,Kepler-244,Lyra,G,0.9,0.8,5554,0.546378,,,3,0,0.562,1.333,0.23,0,0
Kepler-244 c,Superterran,non-habitable,11.37,2.05,1.32,2.71,2.36,742.6,742.6,742.6,15,9.77,0.087,0.09,Kepler-244,Lyra,G,0.92,0.8,5554,0.546378,,,3,0,0.562,1.333,0.27,0,0
Kepler-244 d,Superterran,non-habitable,18.71,2.31,1.52,3.51,2.85,585.4,585.4,585.4,28.5,20.05,0.14,0.14,Kepler-244,Lyra,G,0.91,0.8,5554,0.546378,,,3,0,0.562,1.333,0.28,0,0
Kepler-245 b,Neptunian,non-habitable,3.19,2.56,0.19,0.49,1.12,754.8,754.8,754.8,0.6,7.49,0.071,0.07,Kepler-245,Lyra,K,0.8,0.8,5100,0.388464,,,4,0,0.486,1.17,0.24,0,0
Kepler-245 c,Superterran,non-habitable,14.46,2.17,1.41,3.06,2.58,571.2,571.2,571.2,20.4,17.46,0.124,0.12,Kepler-245,Lyra,K,0.8,0.8,5100,0.388464,,,4,0,0.486,1.17,0.3,0,0
Kepler-245 d,Neptunian,non-habitable,5.4,3.02,0.2,0.59,1.34,447.5,447.5,447.5,1.1,36.28,0.202,0.2,Kepler-245,Lyra,K,0.8,0.8,5100,0.388464,,,4,0,0.486,1.17,0.33,0,0
Kepler-245 e,Superterran,non-habitable,6.1,1.75,1.14,2,1.87,1010.7,1010.7,1010.7,7,3.22,0.0396,0.04,Kepler-245,Lyra,K,0.8,0.8,5100,0.388464,,,4,0,0.486,1.17,0.27,0,0
Kepler-246 b,Superterran,non-habitable,19.94,2.34,1.55,3.64,2.92,917.1,917.1,917.1,31,4.6,0.052,0.05,Kepler-246,Cygnus,K,0.86,0.83,5206,0.454007,,,2,0,0.522,1.253,0.25,0,0
Kepler-246 c,Terran,non-habitable,3.49,1.5,1.03,1.55,1.53,678.5,678.5,678.5,3.6,11.19,0.095,0.1,Kepler-246,Cygnus,K,0.86,0.83,5206,0.454007,,,2,0,0.522,1.253,0.31,0,0
Kepler-247 b,Superterran,non-habitable,4.77,1.64,1.09,1.78,1.71,974.7,974.7,974.7,5.2,3.34,0.042,0.04,Kepler-247,Lyra,K,0.88,0.79,5094,0.377988,,,3,0,0.479,1.155,0.28,0,0
Kepler-247 c,Neptunian,non-habitable,13.6,4.09,0.2,0.81,1.82,689.2,689.2,689.2,2.7,9.44,0.084,0.08,Kepler-247,Lyra,K,0.88,0.79,5094,0.377988,,,3,0,0.479,1.155,0.19,0,0
Kepler-247 d,Neptunian,non-habitable,12.19,3.94,0.2,0.78,1.76,533.9,533.9,533.9,2.4,20.48,0.14,0.14,Kepler-247,Lyra,K,0.88,0.79,5094,0.377988,,,3,0,0.479,1.155,0.24,0,0
Kepler-248 b,Neptunian,non-habitable,5.34,3.01,0.2,0.59,1.33,811.5,811.5,811.5,1,6.31,0.066,0.07,Kepler-248,Cygnus,K,0.96,0.83,5190,0.448451,,,2,0,0.52,1.247,0.22,0,0
Kepler-248 c,Neptunian,non-habitable,13.37,4.07,0.2,0.81,1.81,594.5,594.5,594.5,2.7,16.24,0.123,0.12,Kepler-248,Cygnus,K,0.94,0.83,5190,0.448451,,,2,0,0.52,1.247,0.21,0,0
Kepler-249 b,Terran,non-habitable,1.14,1.09,0.89,0.97,1.03,582.6,582.6,582.6,1,3.31,0.035,0.04,Kepler-249,Cygnus,M,0.52,0.48,3568,0.033502,,,3,0,0.15,0.387,0.34,0,0
Kepler-249 c,Terran,non-habitable,3.59,1.51,1.04,1.57,1.54,452.6,452.6,452.6,3.7,7.11,0.058,0.06,Kepler-249,Cygnus,M,0.51,0.48,3568,0.033502,,,3,0,0.15,0.387,0.4,0,0
Kepler-249 d,Superterran,non-habitable,4.09,1.57,1.06,1.66,1.62,350,350,350,4.3,15.37,0.097,0.1,Kepler-249,Cygnus,M,0.52,0.48,3568,0.033502,,,3,0,0.15,0.387,0.57,0,0
Kepler-250 b,Terran,non-habitable,1.31,1.13,0.91,1.02,1.08,934.6,934.6,934.6,1.2,4.15,0.048,0.05,Kepler-250,Cygnus,K,0.8,0.81,5160,0.41731,,,3,0,0.502,1.206,0.3,0,0
Kepler-250 c,Superterran,non-habitable,17.55,2.27,1.49,3.39,2.78,779.5,779.5,779.5,26.2,7.16,0.069,0.07,Kepler-250,Cygnus,K,0.8,0.81,5160,0.41731,,,3,0,0.502,1.206,0.26,0,0
Kepler-250 d,Superterran,non-habitable,14.46,2.17,1.41,3.06,2.58,574.6,574.6,574.6,20.4,17.65,0.127,0.13,Kepler-250,Cygnus,K,0.8,0.81,5160,0.41731,,,3,0,0.502,1.206,0.3,0,0
Kepler-251 b,Terran,non-habitable,2.3,1.33,0.97,1.29,1.31,998.5,998.5,998.5,2.2,4.79,0.053,0.05,Kepler-251,Cygnus,G,0.91,0.89,5526,0.662694,,,4,0,0.62,1.471,0.29,0,0
Kepler-251 c,Neptunian,non-habitable,4.08,2.77,0.19,0.53,1.21,658.1,658.1,658.1,0.8,16.51,0.122,0.12,Kepler-251,Cygnus,G,0.91,0.89,5526,0.662694,,,4,0,0.62,1.471,0.25,0,0
Kepler-251 d,Neptunian,non-habitable,4.08,2.77,0.19,0.53,1.21,538.8,538.8,538.8,0.8,30.13,0.182,0.18,Kepler-251,Cygnus,G,0.91,0.89,5526,0.662694,,,4,0,0.62,1.471,0.28,0,0
Kepler-251 e,Neptunian,non-habitable,4.08,2.77,0.19,0.53,1.21,361.6,361.6,361.6,0.8,99.64,0.404,0.4,Kepler-251,Cygnus,G,0.91,0.89,5526,0.662694,,,4,0,0.62,1.471,0.46,0,0
Kepler-252 b,Terran,non-habitable,1.75,1.23,0.94,1.15,1.19,571.4,571.4,571.4,1.6,6.67,0.058,0.06,Kepler-252,Cygnus,K,0.52,0.55,4208,0.085098,,,2,0,0.235,0.59,0.34,0,0
Kepler-252 c,Superterran,non-habitable,13.85,2.15,1.39,2.99,2.54,486.5,486.5,486.5,19.3,10.85,0.08,0.08,Kepler-252,Cygnus,K,0.52,0.55,4208,0.085098,,,2,0,0.235,0.59,0.34,0,0
Kepler-253 b,Superterran,non-habitable,4.65,1.62,1.09,1.76,1.69,951.6,951.6,951.6,5.1,3.78,0.046,0.05,Kepler-253,Cygnus,K,0.91,0.79,5208,0.411934,,,3,0,0.498,1.193,0.28,0,0
Kepler-253 c,Neptunian,non-habitable,3.52,2.64,0.19,0.5,1.15,684.2,684.2,684.2,0.7,10.28,0.089,0.09,Kepler-253,Cygnus,K,0.89,0.79,5208,0.411934,,,3,0,0.498,1.193,0.25,0,0
Kepler-253 d,Neptunian,non-habitable,6.26,3.17,0.2,0.62,1.41,566.1,566.1,566.1,1.2,18.12,0.13,0.13,Kepler-253,Cygnus,K,0.89,0.79,5208,0.411934,,,3,0,0.498,1.193,0.25,0,0
Kepler-254 b,Neptunian,non-habitable,11.47,3.86,0.2,0.77,1.72,990.4,990.4,990.4,2.3,5.83,0.064,0.06,Kepler-254,Lyra,G,1.03,0.91,5957,0.935585,,,3,0,0.718,1.684,0.18,0,0
Kepler-254 c,Superterran,non-habitable,13.85,2.15,1.39,2.99,2.54,773.3,773.3,773.3,19.3,12.41,0.105,0.1,Kepler-254,Lyra,G,1,0.91,5957,0.935585,,,3,0,0.718,1.684,0.26,0,0
Kepler-254 d,Superterran,non-habitable,26.81,2.5,1.72,4.3,3.28,672.1,672.1,672.1,46.1,18.75,0.139,0.14,Kepler-254,Lyra,G,1.02,0.91,5957,0.935585,,,3,0,0.718,1.684,0.26,0,0
Kepler-255 b,Terran,non-habitable,3.88,1.55,1.05,1.63,1.59,944.1,944.1,944.1,4.1,5.71,0.063,0.06,Kepler-255,Cygnus,G,0.97,0.93,5573,0.748535,,,3,0,0.657,1.557,0.28,0,0
Kepler-255 c,Neptunian,non-habitable,5.22,2.99,0.2,0.58,1.32,781.3,781.3,781.3,1,9.95,0.092,0.09,Kepler-255,Cygnus,G,0.97,0.93,5573,0.748535,,,3,0,0.657,1.557,0.22,0,0
Kepler-255 d,Terran,non-habitable,2.23,1.32,0.97,1.28,1.3,1677.6,1677.6,1677.6,2.2,1.05,0.02,0.02,Kepler-255,Cygnus,G,0.97,0.93,5573,0.748535,,,3,0,0.657,1.557,0.29,0,0
Kepler-256 b,Superterran,non-habitable,4.31,1.59,1.07,1.7,1.65,1698.4,1698.4,1698.4,4.6,1.62,0.027,0.03,Kepler-256,Cygnus,G,1.02,1.3,5551,1.439665,,,4,0,0.913,2.164,0.28,0,0
Kepler-256 c,Superterran,non-habitable,13.85,2.15,1.39,2.99,2.54,1315.5,1315.5,1315.5,19.3,3.39,0.045,0.04,Kepler-256,Cygnus,G,1.02,1.3,5551,1.439665,,,4,0,0.913,2.164,0.25,0,0
Kepler-256 d,Superterran,non-habitable,25.7,2.48,1.69,4.19,3.22,1103.1,1103.1,1103.1,43.6,5.84,0.064,0.06,Kepler-256,Cygnus,G,1.02,1.3,5551,1.439665,,,4,0,0.913,2.164,0.24,0,0
Kepler-256 e,Superterran,non-habitable,20.36,2.35,1.57,3.68,2.94,900.7,900.7,900.7,31.9,10.68,0.096,0.1,Kepler-256,Cygnus,G,1.02,1.3,5551,1.439665,,,4,0,0.913,2.164,0.25,0,0
Kepler-257 b,Neptunian,non-habitable,3.38,2.61,0.19,0.5,1.14,1263.2,1263.2,1263.2,0.6,2.38,0.034,0.03,Kepler-257,Cygnus,K,0.92,1.04,5180,0.698676,,,3,0,0.649,1.558,0.23,0,0
Kepler-257 c,Neptunian,non-habitable,31.45,5.41,0.2,1.07,2.41,906.7,906.7,906.7,6.2,6.58,0.066,0.07,Kepler-257,Cygnus,K,0.89,1.04,5180,0.698676,,,3,0,0.649,1.558,0.15,0,0
Kepler-257 d,Neptunian,non-habitable,24.11,4.95,0.2,0.98,2.21,582.3,582.3,582.3,4.8,24.66,0.16,0.16,Kepler-257,Cygnus,K,0.9,1.04,5180,0.698676,,,3,0,0.649,1.558,0.19,0,0
Kepler-258 b,Neptunian,non-habitable,13.26,4.05,0.2,0.81,1.81,651.2,651.2,651.2,2.6,13.2,0.103,0.1,Kepler-258,Cygnus,K,0.8,0.92,4942,0.452977,,,2,0,0.529,1.281,0.2,0,0
Kepler-258 c,Neptunian,non-habitable,9.31,3.61,0.2,0.72,1.61,475.8,475.8,475.8,1.8,33.65,0.193,0.19,Kepler-258,Cygnus,K,0.8,0.92,4942,0.452977,,,2,0,0.529,1.281,0.28,0,0
Kepler-259 b,Neptunian,non-habitable,4.24,2.8,0.19,0.54,1.23,883.7,883.7,883.7,0.8,8.12,0.079,0.08,Kepler-259,Lyra,G,1,0.9,5938,0.903516,,,2,0,0.706,1.658,0.23,0,0
