P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
EPIC-206011691 c,Superterran,non-habitable,8.68,1.92,1.24,2.37,2.13,431.1,431.1,431.1,10.7,15.5,0.1026,0.1,EPIC-206011691,Aquarius,M0,0.64,0.6,4043,0.086299,,65,2,0,0.238,0.601,0.4,0,0
EPIC-210490365 b,Neptunian,non-habitable,7.97,3.43,0.2,0.68,1.52,390.8,438.4,515.4,1.6,3.48,0.0299,0.03,EPIC-210490365,Taurus,M4.5,0.29,0.29,3180,0.007984,,45.7,1,0,0.073,0.193,0.31,0,0
EPIC 318 b,Jovian,non-habitable,198.39,13.4,0.08,1.11,3.85,1054.9,1069,1083.8,16.4,4.1,0.0499,0.05,EPIC 318,Taurus,G8,0.98,0.94,5581,0.770756,,323,1,0,0.667,1.579,0.07,0,0
EPIC 888 b,Jovian,non-habitable,565.93,15.12,0.16,2.48,6.12,1588.9,1588.9,1588.9,92.7,3,0.0442,0.04,EPIC 888,Cancer,F9,1.28,1.53,6132,2.95398,,377,1,0,1.262,2.949,0.06,0,0
EPIC 201295312 b,Neptunian,non-habitable,12.05,2.74,0.58,1.6,2.1,1177.4,1244.9,1328.2,7,5.66,0.0647,0.06,EPIC 201295312,Leo,G,1.13,1.52,5830,2.394701,,,1,0,1.158,2.724,0.22,0,0
EPIC 201445392 c,Superterran,non-habitable,22.64,2.41,1.62,3.9,3.07,1015,1015,1015,36.7,2.51,0.0334,0.03,EPIC 201445392,Leo,K,0.79,0.74,4890,0.280924,,,1,0,0.417,1.013,0.24,0,0
EPIC 201637175 b,Neptunian,non-habitable,445.12,2.8,20.28,56.78,12.61,1359.1,1359.1,1359.1,9025.5,0.38,0.0088,0.01,EPIC 201637175,Leo,M0V,0.6,0.57,3830,0.062724,,225,1,0,0.204,0.52,0.22,0,0
EPIC 203771098 b,Neptunian,non-habitable,21.02,5.82,0.11,0.62,1.9,709.8,709.8,709.8,2.2,20.89,0.154,0.15,EPIC 203771098,Scorpio,G9V,1.12,1.21,5743,1.428946,5,181,2,0,0.899,2.12,0.15,0,0
EPIC 203771098 c,Neptunian,non-habitable,27.02,8.1,0.05,0.41,1.83,560.5,560.5,560.5,1.4,42.36,0.247,0.25,EPIC 203771098,Scorpio,G9V,1.12,1.21,5743,1.428946,5,181,2,0,0.899,2.12,0.15,0,0
EPIC 205117205 b,Neptunian,non-habitable,25.6,5.05,0.2,1,2.25,,,,5.1,,,,EPIC 205117205,Scorpio,M3.3,0.54,1.06,3540,0.158312,0.009,145,1,0,0.325,0.842,,0,0
EPIC 211089792 b,Jovian,non-habitable,232.1,13.33,0.1,1.31,4.17,1132.7,1169.2,1210.1,22.8,3.26,0.0422,0.04,EPIC 211089792,Taurus,G7V,0.94,0.84,5940,0.789646,,,1,0,0.66,1.549,0.07,0,0
eps CrB b,Jovian,non-habitable,2130.2,11.68,1.34,15.62,13.51,741.1,780.2,827.7,2850,417.9,1.3,1.29,eps CrB,Corona Borealis,K2III,1.7,21,4406,149.109888,1.74,67.9,1,0,9.796,24.309,0.08,0,0
eps Eridani b,Jovian,non-habitable,982.43,11.58,0.63,7.33,9.21,88.9,111.8,212.3,622.3,2502,3.39,2.41,eps Eridani,Eridanus,K2 V,0.83,0.9,5116,0.492332,0.66,3.2,1,0,0.546,1.315,0.15,0,0
eps Tau b,Jovian,non-habitable,2333.68,11.67,1.47,17.15,14.14,540.9,579.4,629.8,3430.6,594.9,1.9,1.88,eps Tau,Taurus,K0 III,2.7,13.7,4901,97.15603,0.625,45,1,0,7.756,18.828,0.1,0,0
eta Cet b,Jovian,non-habitable,810.75,11.46,0.54,6.17,8.41,630.3,669.2,718.3,436.2,403.5,1.27,1.26,eta Cet,Cetus,K1III,1.7,14.3,4528,77.123641,,38,2,0,7.016,17.311,0.11,0,0
eta Cet c,Jovian,non-habitable,1055.56,11.61,0.68,7.84,9.54,518.2,543.1,572.9,712.8,751.9,1.93,1.92,eta Cet,Cetus,K1III,1.7,14.3,4528,77.123641,,38,2,0,7.016,17.311,0.13,0,0
Fomalhaut b,Jovian,non-habitable,953.82,11.56,0.62,7.14,9.08,45.5,47.9,50.8,588.8,320000,115,114.3,Fomalhaut,Piscis Australis,A3 V,1.92,1.84,8590,16.574551,0.44,7.7,1,0,2.823,6.506,0.09,0,0
FU Tau b,Jovian,non-habitable,4769.1,11.28,3.33,37.51,20.57,1.1,1.1,1.1,15863.3,,800,800,FU Tau,Taurus,M7.25,0.05,0.06,2838,0.000234,0.001,140,1,0,0.013,0.034,0.05,0,0
FW Tau b,Jovian,non-habitable,3179.4,11.57,2.05,23.75,16.58,5.9,5.9,5.9,6527.4,,330,330,FW Tau,Taurus,M4,0.26,0.56,3270,0.032117,0.002,145,1,0,0.147,0.386,0.06,0,0
gamma Cephei b,Jovian,non-habitable,3529.13,11.51,2.31,26.62,17.51,319.5,327.2,335.5,8160.4,903.3,2.05,2.05,gamma Cephei,Cepheus,K1III-IV,1.4,4.9,4800,11.435285,6.6,13.79,1,0,2.673,6.516,0.3,0,0
GJ 15 A b,Superterran,non-habitable,5.35,1.69,1.11,1.88,1.78,365.1,365.1,365.1,6,11.44,0.0717,0.07,GJ 15 A,Andromeda,M2V,0.38,0.39,3567,0.021675,,3.59,1,0,0.12,0.311,0.52,0,0
GJ 27.1 b,Neptunian,non-habitable,13,4.03,0.2,0.8,1.8,341.3,354.6,369.8,2.6,15.82,0.101,0.1,GJ 27.1,Phoenix,M0.5V,0.53,0.52,3542,0.03833,,23.99,1,0,0.16,0.414,0.5,0,0
GJ 86 A b,Jovian,non-habitable,1274.94,11.66,0.8,9.38,10.46,643.1,657.6,673.3,1025.6,15.77,0.11,0.11,GJ 86 A,Eridanus,K1V,0.8,0.85,5350,0.537325,2.03,10.9,1,0,0.564,1.346,0.1,0,0
