PLZ,Gemeinde,Land,SCB
3173,Oberwangen ,CH,11
3173,Liebewil,CH,1
3173,Oberwangen,CH,17
3174,Thörishaus,CH,30
3175,Flamatt,CH,11
3176,Neuenegg,CH,55
3177,Laupen,CH,20
3177,Laupen ,CH,15
3178,Bösingen,CH,27
3179,Kriechenwil,CH,13
3182,Ueberstorf,CH,7
3183,Albligen,CH,4
3184,Wünnewil,CH,5
3184,Wünnewil ,CH,1
3185,Schmitten,CH,12
3186,Düdingen,CH,18
3202,Frauenkappelen,CH,21
3203,Mühleberg,CH,19
3203,Buttenried,CH,1
3204,Rosshäusern,CH,17
3205,Gümmenen,CH,16
3205,Mauss,CH,4
3206,Biberen,CH,3
3206,Gammen,CH,3
3206,Wallenbuch,CH,2
3207,Golaten,CH,5
3207,Wileroltigen,CH,4
3207,Wilteroltigen,CH,1
3208,Gurbrü,CH,8
3208,Murten,CH,1
3210,Kerzers,CH,43
3212,Gurmels,CH,4
3213,Liebistorf,CH,2
3214,Ulmiz,CH,2
3215,Gempenach,CH,5
3215,Büchslen,CH,3
3216,Ried,CH,7
3225,Müntschemier,CH,19
3226,Treiten,CH,3
3232,Ins,CH,13
3233,Tschugg,CH,5
3234,Vinelz,CH,10
3235,Erlach,CH,10
3236,Gampelen,CH,2
3237,Brüttelen,CH,6
3238,Gals,CH,4
3242,Ulmiz,CH,1
3250,Lyss,CH,94
3250,Lyss ,CH,1
3251,Wengi,CH,7
3251,Ruppoldsried,CH,5
3252,Worben,CH,25
3253,Schnottwil,CH,3
3254,Messen,CH,7
3255,Rapperswil ,CH,14
3255,Rapperswil,CH,12
3256,Dieterswil,CH,13
3256,Bangerten,CH,1
3256,Seewil,CH,1
3257,Grossaffoltern,CH,31
3257,Ammerzwil,CH,2
3257,Ammerzwil ,CH,2
3262,Suberg,CH,5
3263,Büetigen,CH,3
3264,Diessbach,CH,5
3266,Wiler,CH,4
3267,Seedorf ,CH,15
3267,Seedorf,CH,9
3267,Baggwil,CH,2
3268,Lobsigen,CH,2
3270,Aarberg,CH,46
3271,Radelfingen,CH,5
3272,Walperswil,CH,13
3272,Epsach,CH,2
3272,Kappelen,CH,2
3273,Kappelen,CH,10
3274,Bühl,CH,2
3274,Merzligen,CH,2
3280,Murten,CH,35
